Team	Matches	Winner	Lost	No result	Tied	% Won
Durham	1	1	0	0	0	100.00
Essex	13	7	5	1	0	53.85
Gloucestershire	1	1	0	0	0	100.00
Hampshire	9	5	3	0	1	55.56
Leicestershire	1	0	1	0	0	0.00
Middlesex	13	7	5	1	0	53.85
Nottinghamshire	1	1	0	0	0	100.00
Somerset	1	0	1	0	0	0.00
Surrey	12	4	8	0	0	33.33
Sussex	10	6	3	1	0	60.00
Warwickshire	1	1	0	0	0	100.00
Total	63	33	26	3	1	52.38
Source:. Last updated: 1 December 2009	Source:. Last updated: 1 December 2009	Source:. Last updated: 1 December 2009	Source:. Last updated: 1 December 2009	Source:. Last updated: 1 December 2009	Source:. Last updated: 1 December 2009	Source:. Last updated: 1 December 2009
