District	Incumbent	Party	First elected	Result	Candidates
Virginia 1	None (District created)	None (District created)	None (District created)	New seat Democratic-Republican gain	John G. Jackson (DR) Thomas Wilson (F)
Virginia 3	John Smith Redistricted from the 1st district	Democratic-Republican	1801	Re-elected	John Smith (DR) 89.9% Joseph Sexton (DR) 10.1%
Virginia 4	David Holmes Redistricted from the 2nd district	Democratic-Republican	1797	Re-elected	David Holmes (DR) Isaac Van Meter (F)
Virginia 6	Abram Trigg Redistricted from the 4th district	Democratic-Republican	1797	Re-elected	Abram Trigg (DR)
Virginia 8	None (District created)	None (District created)	None (District created)	Democratic-Republican gain	Walter Jones (DR) James Ball (F)
Virginia 10	John Dawson Redistricted from the 15th district	Democratic-Republican	1797	Re-elected	John Dawson (DR) William I. Callis (F)
Virginia 11	Anthony New Redistricted from the 16th district	Democratic-Republican	1793	Re-elected	Anthony New (DR) 71.4% John Taylor (F) 28.6%
Virginia 13	John J. Trigg Redistricted from the 5th district	Democratic-Republican	1797	Re-elected	John J. Trigg (DR)
Virginia 14	Matthew Clay Redistricted from the 6th district	Democratic-Republican	1797	Re-elected	Matthew Clay (DR) 88.9% James Hurt (F) 11.1%
Virginia 16	None (District created)	None (District created)	None (District created)	New seat Democratic-Republican gain	John W. Eppes (DR)
Virginia 18	None (District created)	None (District created)	None (District created)	New seat Democratic-Republican gain	Peterson Goodwyn (DR) 66.9% James Jones (F) 33.1%
Virginia 19	Edwin Gray Redistricted from the 10th district	Democratic-Republican	1799	Re-elected	Edwin Gray (DR)
