Round	Choice	Overall	Player name	Position	College
1	1	1	Tommy Mason	Running Back	Tulane
2	1	15	Rip Hawkins	Linebacker	North Carolina
3	1	29	Fran Tarkenton	Quarterback	Georgia
4	1	43	Chuck Lamson	Safety	Wyoming
5	1	57	Ed Sharockman	Cornerback	Pittsburgh
6	1	71	Jerry Burch	End	Georgia Tech
7	1	85	Allan Ferrie	End	Wagner
8	1	99	Paul Lindquist	Defensive Tackle	New Hampshire
9	1	113	Dan Sheehan	Offensive Tackle	Tennessee-Chattanooga
10	1	127	Doug Mayberry	Fullback	Utah State
11	1	141	Jerry Mays	Defensive Tackle	Southern Methodist
12	1	155	Steve Stonebreaker	Linebacker	Detroit
13	1	169	Ray Hayes	Fullback	Central State
14	1	183	Ken Petersen	Offensive lineman	Utah
15	1	197	Mike Mercer	Kicker	Arizona State
16	1	211	Ted Karpowicz	Running Back	Detroit
17	1	225	Willie Jones	Fullback	Purdue
18	1	239	Bob Voigt	Offensive Tackle	Cal State-Los Angeles
19	1	253	Bill Hill	Fullback	Presbyterian
