Week	Date	Opponent	Time ( ET )	Result
1	Sunday September 12	at Oakland Raiders	4:00pm	L 31–28
2	Sunday September 19	Cleveland Browns	1:00pm	W 31–14
3	Sunday September 26	New England Patriots	1:00pm	L 30–27
4	Monday October 4	at Minnesota Vikings	9:00pm	L 17–6
5	Sunday October 10	at Cleveland Browns	1:00pm	L 18–16
6	Sunday October 17	Cincinnati Bengals	1:00pm	W 23–6
7	Sunday October 24	at New York Giants	1:00pm	W 27–0
8	Sunday October 31	San Diego Chargers	1:00pm	W 23–0
9	Sunday November 7	at Kansas City Chiefs	1:00pm	W 45–0
10	Sunday November 14	Miami Dolphins	1:00pm	W 14–3
11	Sunday November 21	Houston Oilers	1:00pm	W 32–16
12	Sunday November 28	at Cincinnati Bengals	1:00pm	W 7–3
13	Sunday December 5	Tampa Bay Buccaneers	1:00pm	W 42–0
14	Saturday December 11	at Houston Oilers	1:00pm	W 21–0
