Date	Visitor	Score	Home	Record
December 1	Florida	4 – 2	Detroit	14–9–3
December 3	Vancouver	2 – 2	Detroit	14–9–4
December 4	Detroit	2 – 0	Washington	15–9–4
December 10	Edmonton	0 – 0	Detroit	15–9–5
December 12	Chicago	2 – 6	Detroit	16–9–5
December 15	Toronto	1 – 3	Detroit	17–9–5
December 17	Detroit	3 – 4	Colorado	17–10–5
December 18	Detroit	3 – 3	Calgary	17–10–6
December 20	Detroit	2 – 3	Vancouver	17–11–6
December 22	Detroit	6 – 2	Edmonton	18–11–6
December 26	Washington	4 – 5	Detroit	19–11–6
December 28	Detroit	7 – 1	NY Islanders	20–11–6
December 30	Phoenix	5 – 3	Detroit	20–12–6
