Year	Actor	Award	Series	Result
1969	Diahann Carroll	Best TV Star – Female	Julia	Won
1970	Diahann Carroll	Best Actress – Musical or Comedy Series	Julia	Nominated
1970	Denise Nicholas	Best Actress – Drama Series	Room 222	Nominated
1971	Denise Nicholas	Best Actress – Drama Series	Room 222	Nominated
1971	Gail Fisher	Best Supporting Actress	Mannix	Won
1972	Gail Fisher	Best Supporting Actress	Mannix	Nominated
1972	Denise Nicholas	Best Actress – Drama Series	Room 222	Nominated
1973	Gail Fisher	Best Actress – Drama Series	Mannix	Won
1974	Gail Fisher	Best Supporting Actress	Mannix	Nominated
1975	Teresa Graves	Best Actress – Drama Series	Get Christie Love!	Nominated
1975	Esther Rolle	Best Actress – Musical or Comedy Series	Good Times	Nominated
1977	Isabel Sanford	Best Actress – Musical or Comedy Series	The Jeffersons	Nominated
1978	Isabel Sanford	Best Actress – Musical or Comedy Series	The Jeffersons	Nominated
1978	Leslie Uggams	Best Actress – Drama Series	Roots	Nominated
1983	Debbie Allen	Best Actress – Musical or Comedy Series	Fame	Nominated
1983	Nell Carter	Best Actress – Musical or Comedy Series	Gimme a Break!	Nominated
1983	Isabel Sanford	Best Actress – Musical or Comedy Series	The Jeffersons	Nominated
1984	Isabel Sanford	Best Actress – Musical or Comedy Series	The Jeffersons	Nominated
1984	Debbie Allen	Best Actress – Musical or Comedy Series	Fame	Nominated
1985	Debbie Allen	Best Actress – Musical or Comedy Series	Fame	Won
1985	Nell Carter	Best Actress – Musical or Comedy Series	Gimme a Break!	Nominated
1985	Isabel Sanford	Best Actress – Musical or Comedy Series	The Jeffersons	Nominated
1985	Marla Gibbs	Best Supporting Actress	The Jeffersons	Nominated
1989	Jackée	Best Supporting Actress	227	Nominated
1992	Lynn Whitfield	Best Actress – Miniseries or Television Film	The Josephine Baker Story	Nominated
1993	Regina Taylor	Best Actress – Drama Series	I'll Fly Away	Won
1995	Diana Ross	Best Actress – Miniseries or Television Film	Out of Darkness	Nominated
1998	Della Reese	Best Supporting Actress	Touched by an Angel	Nominated
1998	Gloria Reuben	Best Supporting Actress	ER	Nominated
1998	Alfre Woodard	Best Actress – Miniseries or Television Film	Miss Evers' Boys	Won
2000	Halle Berry	Best Actress – Miniseries or Television Film	Introducing Dorothy Dandridge	Won
2001	Alfre Woodard	Best Actress – Miniseries or Television Film	Holiday Heart	Nominated
2006	Halle Berry	Best Actress – Miniseries or Television Film	Their Eyes Were Watching God	Nominated
2006	S. Epatha Merkerson	Best Actress – Miniseries or Television Film	Lackawanna Blues	Won
2007	Sophie Okonedo	Best Actress – Miniseries or Television Film	Tsunami: The Aftermath	Nominated
2008	Queen Latifah	Best Actress – Miniseries or Television Film	Life Support	Won
