Institution name	City/ town	State/ province	Total enrollment	Year founded
Abilene Christian University	Abilene	Texas	4,669	1906
Anderson University	Anderson	Indiana	2,737	1917
Anderson University	Anderson	South Carolina	2,279	1848
Asbury University	Wilmore	Kentucky	1,613	1890
Azusa Pacific University	Azusa	California	8,548	1899
Belhaven University	Jackson	Mississippi	2,619	1883
Bethel College	Mishawaka	Indiana	2,075	1947
Bethel University	Arden Hills	Minnesota	4,332	1871
Biola University	La Mirada	California	5,893	1908
Bluefield College	Bluefield	Virginia	736	1922
Bluffton University	Bluffton	Ohio	1,149	1899
Bryan College	Dayton	Tennessee	1,079	1930
California Baptist University	Riverside	California	4,013	1950
Calvin College	Grand Rapids	Michigan	4,171	1876
Campbellsville University	Campbellsville	Kentucky	2,830	1906
Carson-Newman College	Jefferson City	Tennessee	2,032	1851
Cedarville University	Cedarville	Ohio	3,066	1887
College of the Ozarks	Point Lookout	Missouri	1,334	1906
Colorado Christian University	Lakewood	Colorado	2,599	1914
Concordia University Irvine	Irvine	California	3,251	1976
Corban University	Salem	Oregon	1,031	1935
Cornerstone University	Grand Rapids	Michigan	2,440	1941
Covenant College	Lookout Mountain	Georgia	1,343	1955
Crown College	St. Bonifacius	Minnesota	1,229	1916
Dallas Baptist University	Dallas	Texas	5,297	1898
Dordt College	Sioux Center	Iowa	1,361	1955
East Texas Baptist University	Marshall	Texas	1,210	1912
Eastern Mennonite University	Harrisonburg	Virginia	1,387	1917
Eastern Nazarene College	Quincy	Massachusetts	1,000	1900
Eastern University	St. Davids	Pennsylvania	4,364	1952
Emmanuel College	Franklin Springs	Georgia	800	1919
Erskine College	Due West	South Carolina	864	1839
Evangel University	Springfield	Missouri	1,911	1955
Fresno Pacific University	Fresno	California	2,436	1944
Geneva College	Beaver Falls	Pennsylvania	1,951	1848
George Fox University	Newberg	Oregon	3,383	1885
Gordon College	Wenham	Massachusetts	1,748	1889
Goshen College	Goshen	Indiana	957	1894
Grace College and Theological Seminary	Winona Lake	Indiana	1,509	1948
Greenville College	Greenville	Illinois	1,618	1892
Hannibal-LaGrange University	Hannibal	Missouri	1,150	1928
Hardin-Simmons University	Abiline	Texas	2,387	1891
Hope International University	Fullerton	California	864	1928
Houghton College	Houghton	New York	1,415	1883
Houston Baptist University	Houston	Texas	2,564	1960
Howard Payne University	Brownwood	Texas	1,388	1889
Huntington University	Huntington	Indiana	1,230	1897
Indiana Wesleyan University	Marion	Indiana	15,442	1920
John Brown University	Siloam Springs	Arkansas	2,017	1919
Judson College	Marion	Alabama	324	1838
Judson University	Elgin	Illinois	1,239	1963
Kentucky Christian University	Grayson	Kentucky	662	1919
King College	Bristol	Tennessee	1,702	1867
King's University College	Edmonton	Alberta	652*	1979
Lee University	Cleveland	Tennessee	4,377	1918
LeTourneau University	Longview	Texas	3,662	1946
Lipscomb University	Nashville	Tennessee	3,073	1891
Louisiana College	Pineville	Louisiana	1,096	1906
Malone University	Canton	Ohio	2,442	1892
The Master's College and Seminary	Santa Clarita	California	1,417	1927
Messiah College	Grantham	Pennsylvania	2,802	1909
MidAmerica Nazarene University	Olathe	Kansas	1,743	1966
Milligan College	Carter County	Tennessee	1,018	1866
Mississippi College	Clinton	Mississippi	4,741	1826
Missouri Baptist University	St. Louis	Missouri	4,614	1957
Montreat College	Montreat	North Carolina	1,113	1916
Mount Vernon Nazarene University	Mount Vernon	Ohio	2,558	1968
North Central University	Minneapolis	Minnesota	1,200	1930
North Greenville University	Tigerville	South Carolina	2,160	1891
North Park University	Chicago	Illinois	3,244	1891
Northwest Christian University	Eugene	Oregon	534	1895
Northwest Nazarene University	Nampa	Idaho	1,939	1913
Northwest University	Kirkland	Washington	1,246	1934
Northwestern College	Orange City	Iowa	1,226	1882
Nyack College	Nyack	New York	3,041	1882
Oklahoma Baptist University	Shawnee	Oklahoma	1,769	1910
Oklahoma Christian University	Oklahoma City	Oklahoma	2,166	1950
