Driver	Team	Laps	Time/Retired	Grid	Points
Sébastien Bourdais	Newman/Haas Racing	166	1:26:22.636	1	34
Oriol Servià	Newman/Haas Racing	166	+0.312 secs	2	28
Jimmy Vasser	PKV Racing	166	+3.604 secs	3	25
Mario Domínguez	Forsythe Racing	166	+7.169 secs	6	23
Rodolfo Lavín	HVM Racing	166	+7.538 secs	7	21
Björn Wirdheim	HVM Racing	166	+7.555 secs	5	19
Alex Tagliani	Team Australia	166	+8.162 secs	13	17
Timo Glock	Rocketsports Racing	165	+ 1 Lap	15	16
Marcus Marshall	Team Australia	165	+ 1 Lap	10	13
Ryan Hunter-Reay	Rocketsports Racing	165	+ 1 Lap	16	11
Justin Wilson	RuSPORT	164	+ 2 Laps	9	10
Cristiano da Matta	PKV Racing	164	+ 2 Laps	4	9
A. J. Allmendinger	RuSPORT	163	+ 3 Laps	8	8
Andrew Ranger	Mi-Jack Conquest Racing	162	+ 4 Laps	17	7
Ricardo Sperafico	Dale Coyne Racing	161	+ 5 Laps	18	6
Nelson Philippe	Mi-Jack Conquest Racing	127	Contact	11	5
Paul Tracy	Forsythe Racing	123	Contact	14	5
Ronnie Bremer	Dale Coyne Racing	41	Pit Incident	12	3
