Frequency	Callsign	Brand	City of License	Website	Webcast
530	WPMQ285	TxDOT HAR	Laredo	•	•
790	XEFE	La Mera Ley	Nuevo Laredo	•	listen live
890	KVOZ	Radio Cristiana	Del Mar Hills	lanuevaradiocristiana.com	•
960	XEK	La Grande	Nuevo Laredo	xek.com	listen live
1000	XENLT	Radio Formula	Nuevo Laredo	radioformula.com	•
1090	XEWL	W-Radio	Nuevo Laredo	wradio.com.mx	listen live
1300	KLAR	Radio Poder	Laredo	feypoder.com	listen live
1340	XEBK	exa FM	Nuevo Laredo	exafm.com.mx	•
1370	XEGNK	Radio Mexicana	Nuevo Laredo	•	listen live
1410	XEAS	Ke Buena	Nuevo Laredo	kebuena.com	listen live
1490	KLNT	ESPN Radio	Laredo	•	•
1550	XENU	La Rancherita	Nuevo Laredo	•	listen live
1610	WPMQ285	TxDOT HAR	Laredo	•	•
