Date	Course	Distance	Type	Winner
24 May	Genoa	km (mi)	Individual time trial	Thierry Marie ( FRA )
25 May	Genoa to Uliveto Terme	km (mi)	Plain stage	Endrio Leoni ( ITA )
26 May	Uliveto Terme to Arezzo	km (mi)	Hilly stage	Maximilian Sciandri ( ITA )
27 May	Arezzo to Sansepolcro	km (mi)	Individual time trial	Miguel Indurain ( ESP )
28 May	Sansepolcro to Porto Sant'Elpidio	km (mi)	Plain stage	Mario Cipollini ( ITA )
29 May	Porto Sant'Elpidio to Sulmona	km (mi)	Stage with mountain(s)	Franco Vona ( ITA )
30 May	Roccaraso to Melfi	km (mi)	Hilly stage	Guido Bontempi ( ITA )
31 May	Melfi to Aversa	km (mi)	Plain stage	Mario Cipollini ( ITA )
1 June	Aversa to Latina	km (mi)	Plain stage	Guido Bontempi ( ITA )
2 June	Latina to Monte Terminillo	km (mi)	Stage with mountain(s)	Luis Herrera ( COL )
3 June	Montepulciano to Imola	km (mi)	Hilly stage	Roberto Pagnin ( ITA )
4 June	Imola to Bassano del Grappa	km (mi)	Plain stage	Endrio Leoni ( ITA )
5 June	Bassano del Grappa to Corvara	km (mi)	Stage with mountain(s)	Franco Vona ( ITA )
6 June	Corvara to Monte Bondone	km (mi)	Stage with mountain(s)	Giorgio Furlan ( ITA )
7 June	Riva del Garda to Palazzolo sull'Oglio	km (mi)	Plain stage	François Simon ( FRA )
8 June	Palazzolo sull'Oglio to Sondrio	km (mi)	Hilly stage	Marco Saligari ( ITA )
9 June	Sondrio to Vercelli	km (mi)	Plain stage	Mario Cipollini ( ITA )
10 June	Vercelli to Pian del Re	km (mi)	Stage with mountain(s)	Marco Giovannetti ( ITA )
11 June	Saluzzo to Pila	km (mi)	Stage with mountain(s)	Udo Bölts ( GER )
12 June	Saint Vincent to Verbania	km (mi)	Stage with mountain(s)	Franco Chioccioli ( ITA )
13 June	Verbania to Vigevano	km (mi)	Plain stage	Mario Cipollini ( ITA )
14 June	Vigevano to Milan	km (mi)	Individual time trial	Miguel Indurain ( ESP )
Total	Total	km (mi)	km (mi)	km (mi)
