Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	13–0	Roy Nelson	Decision (unanimous)	UFC 166	3	5:00	Houston, Texas , United States
Win	12–0	Frank Mir	Decision (unanimous)	UFC on Fox: Henderson vs. Melendez	3	5:00	San Jose, California , United States
Win	11–0	Dion Staring	TKO (punches)	Strikeforce: Marquardt vs. Saffiedine	2	4:02	Oklahoma City, Oklahoma , United States
Win	10–0	Josh Barnett	Decision (unanimous)	Strikeforce: Barnett vs. Cormier	5	5:00	San Jose, California , United States
Win	9–0	Antonio Silva	KO (punches)	Strikeforce: Barnett vs. Kharitonov	1	3:56	Cincinnati, Ohio , United States
Win	8–0	Jeff Monson	Decision (unanimous)	Strikeforce: Overeem vs. Werdum	3	5:00	Dallas, Texas , United States
Win	7–0	Devin Cole	Decision (unanimous)	Strikeforce Challengers: Woodley vs. Saffiedine	3	5:00	Nashville, Tennessee , United States
Win	6–0	Soa Palelei	Submission (punches)	XMMA 3	1	2:23	Sydney, New South Wales , Australia
Win	5–0	Jason Riley	Submission (punches)	Strikeforce: Houston	1	1:02	Houston, Texas , United States
Win	4–0	Tony Johnson	Submission (rear naked choke)	KOTC: Imminent Danger	1	2:27	Mescalero, New Mexico , United States
Win	3–0	Lucas Browne	TKO (punches)	XMMA 2	1	4:35	Sydney, New South Wales , Australia
Win	2–0	John Devine	KO (punch)	Strikeforce Challengers: Johnson vs. Mahe	1	1:19	Fresno, California , United States
Win	1–0	Gary Frazier	TKO (punches)	Strikeforce Challengers: Kennedy vs. Cummings	2	3:39	Bixby, Oklahoma , United States
