Event	Date	Location	Winning skip	Runner-up skip
BDO Galt Curling Classic	Sept. 17-23	Cambridge, Ontario	Julie Reddick	Colleen Madonia
Radisson SAS Oslo Cup	Sept. 20-23	Oslo , Norway	Jennifer Jones	Sherry Anderson
AMJ Campbell Shorty Jenkins Classic	Sept. 20-23	Brockville, Ontario	Debbie McCormick	Ève Bélisle
Boston Pizza September Shoot-Out	Sept. 21-23	Edmonton, Alberta	Wang Bingyu	Glenys Bakker
Twin Anchors Houseboat Cashspiel	Sept. 27-30	Vernon, British Columbia	Heather Rankin	Shannon Kleibrink
Trail Appliances Autumn Gold	Oct. 5-9	Calgary, Alberta	Jennifer Jones	Shannon Kleibrink
Women's Masters Basel	Oct. 12-14	Basel , Switzerland	Anette Norberg	Edith Loudon
Meyers Norris Penny Charity Classic	Oct. 12-15	Medicine Hat, Alberta	Moe Meguro	Carly Quigley
Southwestern Ontario Women's Charity Cashspiel	Oct. 12-15	London, Ontario	Rachel Homan	Ève Bélisle
Coupe Quebec La Cage aux Sports	Oct. 18-21	Quebec, Quebec	Ève Bélisle	Veronique Brassard
Casinos of Winnipeg Classic	Oct. 19-22	Winnipeg, Manitoba	Shannon Kleibrink	Jennifer Jones
Zurich Women's Masters	Oct. 19-21	Zurich , Switzerland	Irene Schori	Binia Feltscher-Beeli
Strauss Crown of Curling	Oct. 19-22	Kamloops, British Columbia	Kelly Scott	Marla Mallett
Colonial Square Ladies Classic	Oct. 26-29	Saskatoon, Saskatchewan	Stefanie Lawton	Cathy King
Stockholm Ladies Cup	Nov. 1-4	Stockholm , Sweden	Anette Norberg	Anna Hasselborg
Red Deer Curling Classic	Nov. 1-4	Red Deer, Alberta	Jennifer Jones	Kristie Moore
Royal Lepage OVCA Women's Fall Classic	Nov. 2-4	Ottawa, Ontario	Jenn Hanna	Tracy Samaan
Duluth Cash Spiel	Nov. 9-12	Duluth, Minnesota	Patti Lank	Patti Burtnyk
Wayden Transportation Ladies Classic	Nov. 16-19	Abbotsford, British Columbia	Kelly Scott	Stefanie Lawton
Sun Life Invitational	Nov. 16-19	Brantford, Ontario	Julie Hastings	Krista McCarville
Interlake Pharmacy Classic	Nov. 22-26	Stonewall, Manitoba	Joelle Brown	Barb Spencer
CUETS Schmirler Charity Classic	Nov. 23-26	Regina, Saskatchewan	Jolene McIvor	Michelle Englot
International ZO Women's Tournament	Nov. 23-25	Wetzikon , Switzerland	Mirjam Ott	Ludmila Privivkova
Sobeys Slam	Nov. 29-Dec. 2	New Glasgow, Nova Scotia	Sherry Middaugh	Marie-France Larouche
Boundary Ford Classic	Nov. 30-Dec. 3	Lloydminster, Alberta	Faye White	Chana Martineau
Diversified Transportation Canada Cup Qualifier	Dec. 12-16	Edmonton, Alberta	Cheryl Bernard	Sherry Middaugh
International Ladies Bernese Cup	Jan. 11-13	Bern , Switzerland	Kelly Scott	Kelly Wood
Braehead Ladies International	Jan. 18-20	Glasgow, Scotland	Gail Munro	Kelly Wood
Tylenol Players Championship	Apr. 15-20	St. John's, Newfoundland and Labrador	Amber Holland	Krista McCarville
