Position	Club	Played	Points	Wins	Draws	Losses	Goals for	Goals against	Goal Difference
1	Real Burgos	38	50+12	18	14	6	53	24	+29
2	Real Betis	38	47+9	16	15	7	44	29	+15
3	Bilbao Athletic 1	38	45+7	15	15	8	50	36	+14
4	Deportivo de La Coruña	38	44+6	19	6	13	45	38	+7
5	RCD Español	38	42+4	15	12	11	50	33	+17
6	UD Las Palmas	38	40+2	15	10	13	42	37	+5
7	CE Sabadell FC	38	40+2	13	14	11	40	39	+1
8	Palamós CF	38	40+2	13	14	11	29	39	-10
9	Real Murcia	38	38	13	12	13	38	39	-1
10	Xerez CD	38	38	11	16	11	26	31	-5
11	Sestao	38	36-2	13	10	15	33	32	+1
12	UE Figueres	38	36-2	12	12	14	37	46	-9
13	UD Salamanca	38	36-2	14	8	16	35	33	+2
14	Elche CF	38	36-2	12	12	14	39	41	-2
15	Levante UD	38	36-2	9	18	11	34	43	-9
16	SD Eibar	38	34-4	11	12	15	35	42	-7
17	Racing de Santander	38	33-5	11	11	16	32	36	-4
18	Castilla CF	38	31-7	11	9	18	36	44	-8
19	Recreativo de Huelva	38	29-9	12	5	21	39	56	-17
20	Atlético Madrileño	38	29-9	8	13	17	33	52	-19
