Date	Venue	Score	Result	Competition
28 March 2009	Stade Mohamed V , Casablanca	1–0	2–1	2010 FIFA World Cup qualifier
11 August 2009	Stade des Vertus , Dieppe	1–0	1–1	Friendly
19 May 2010	Stade François Coty , Ajaccio	2–0	3–0	Friendly
11 August 2010	Stade 5 Juillet 1962 , Algiers	2–0	2–1	Friendly
17 November 2010	Parc des Sports Michel Hidalgo , Sannois	1–2	1–2	Friendly
23 January 2012	Stade d'Angondjé , Libreville	1–0	2–0	2012 Africa Cup of Nations
27 January 2012	Stade d'Angondjé,Libreville	1–1	3–2	2012 Africa Cup of Nations
31 January 2012	Stade de Franceville , Franceville	1–0	1–0	2012 Africa Cup of Nations
15 June 2013	Stade de Franceville, Franceville	1–1	4–1	2014 FIFA World Cup qualifier
15 June 2013	Stade de Franceville, Franceville	2–1	4–1	2014 FIFA World Cup qualifier
15 June 2013	Stade de Franceville, Franceville	4–1	4–1	2014 FIFA World Cup qualifier
