No	Player	Height	Position	Year born	Current Club
4	Sandi Čebular	1.94	Guard	1986	Unattached
5	Jaka Lakovič	1.86	Guard	1978	AXA FC Barcelona
6	Aleksandar Ćapin	1.86	Guard	1982	Whirlpool Varese
7	Goran Dragić	1.88	Guard	1986	TAU Cerámica
8	Rasho Nesterovič	2.14	Center	1976	Toronto Raptors
9	Matjaž Smodiš	2.05	Forward	1979	CSKA Moscow
10	Uroš Slokar	2.09	Center	1983	Triumph Lyubertsy
11	Jaka Klobučar	1.94	Guard	1987	Geoplin Slovan
12	Goran Jagodnik	2.02	Forward	1974	Hemofarm
13	Domen Lorbek	1.96	Guard	1985	MMT Estudiantes
14	Gašper Vidmar	2.08	Center	1987	Fenerbahçe Ülker
