Scientic name	Common name	Authority	Year	Subgenus
O. acares	redspotted stream crayfish	Fitzpatrick	1965	Procericambarus
O. alabamensis	Alabama crayfish	(Faxon)	1884	Trisellescens
O. australis	cave crayfish	(Rhoades)	1941	Orconectes
O. barrenensis	Barren River crayfish	Rhoades	1944	Procericambarus
O. barri	Cumberland Plateau crayfish	Buhay & Crandall	2008	Orconectes
O. bisectus	Crittenden crayfish	Rhoades	1944	Crockerinus
O. burri	Blood River crayfish	Taylor & Sabaj	1998	Crockerinus
O. carolinensis	North Carolina spiny crayfish	Cooper & Cooper	1995	Procericambarus
O. causeyi	western plains crayfish	Jester	1967	Gremicambarus
O. chickasawae	Chickasaw crayfish	Cooper & Hobbs	1980	Trisellescens
O. compressus	slender crayfish	(Faxon)	1884	Gremicambarus
O. cooperi	Flint River crayfish	Cooper & Hobbs	1980	Trisellescens
O. cristavarius	spiny stream crayfish	Taylor	2000	Procericambarus
O. deanae	conchas crayfish	Reimer & Jester	1975	Hespericambarus
O. difficilis	painted crayfish	(Faxon)	1898	Hespericambarus
O. durelli	saddle crayfish	Bouchard & Bouchard	1995	Procericambarus
O. erichsonianus	reticulate crayfish	(Faxon)	1898	Crockerinus
O. etnieri	Ets crayfish	Bouchard & Bouchard	1976	Trisellescens
O. eupunctus	coldwater crayfish	Williams	1952	Crockerinus
O. forceps	surgeon crayfish	(Faxon)	1884	Procericambarus
O. harrisonii	belted crayfish	(Faxon)	1884	Billecambarus
O. hartfieldi	Yazoo crayfish	Fitzpatrick & Suttkus	1992	Hespericambarus
O. hathawayi	Teche pointed crayfish	Penn	1952	Hespericambarus
O. hobbsi	Pontchartrain painted crayfish	Penn	1950	Buannulifictus
O. holti	bimaculate crayfish	Cooper & Hobbs	1980	Trisellescens
O. hylas	woodland crayfish	(Faxon)	1890	Procericambarus
O. illinoiensis	Shawnee crayfish	Brown	1956	Crockerinus
O. immunis	calico crayfish	(Hagen)	1870	Trisellescens
O. incomptus	Tennessee cave crayfish	Hobbs & Barr	1972	Orconectes
O. indianensis	Indiana crayfish	(Hay)	1896	Faxonius
O. inermis	ghost crayfish / unarmed crayfish	Cope	1872	Orconectes
O. jeffersoni	Louisville crayfish	Rhoades	1944	Crockerinus
O. jonesi	Sucarnoochee crayfish	Fitzpatrick	1992	Gremicambarus
O. juvenilis	Kentucky River crayfish	(Hagen)	1870	Procericambarus
O. kentuckiensis	Kentucky crayfish	Rhoades	1944	Rhoadesius
O. lancifer	shrimp crayfish	(Hagen)	1870	Tragulicambarus
O. leptogonopodus	Little River Creek crayfish	Hobbs	1948	Procericambarus
O. limosus	spinycheek crayfish	(Rafinesque)	1817	Faxonius
O. longidigitus	longpincered crayfish	(Faxon)	1898	Procericambarus
O. luteus	golden crayfish	(Creaser)	1933	Procericambarus
O. macrus	Neosho midget crayfish	Williams	1952	Procericambarus
O. maletae	Kisatchie painted crayfish	Walls	1972	Hespericambarus
O. marchandi	Mammoth Spring crayfish	Hobbs	1948	Crockerinus
O. margorectus	Livingston crayfish	Taylor	2002	Crockerinus
O. medius	saddlebacked crayfish	(Faxon)	1884	Procericambarus
O. meeki	Meek's crayfish	(Faxon)	1898	Buannulifictus
O. menae	Mena crayfish	(Creaser)	1933	Procericambarus
O. mirus	wonderful crayfish	(Ortmann)	1931	Procericambarus
O. mississippiensis	Mississippi crayfish	(Faxon)	1884	Trisellescens
O. nais	water nymph crayfish	(Faxon)	1885	Gremicambarus
O. nana	midget crayfish	Williams	1952	Procericambarus
O. neglectus	ringed crayfish	(Faxon)	1885	Procericambarus
O. obscurus	Allegheny crayfish	(Hagen)	1870	Crockerinus
O. ozarkae	Ozark crayfish	Williams	1952	Procericambarus
O. packardi	cave crayfish	Rhoades	1944	Orconectes
O. pagei	mottled crayfish	Taylor & Sabaj	1997	Orconectes
O. palmeri	gray-speckled crayfish	(Faxon)	1884	Buannulifictus
O. pardalotus	leopard crayfish	Wetzel, Poly & Fetzner	2005	Procericambarus
O. pellucidus	Mammoth Cave crayfish	(Tellkampf)	1844	Orconectes
O. perfectus	complete crayfish	Walls	1972	Hespericambarus
O. peruncus	Big Creek crayfish	(Creaser)	1931	Procericambarus
O. placidus	bigclaw crayfish	(Hagen)	1870	Procericambarus
O. propinquus	northern clearwater crayfish	(Girard)	1852	Crockerinus
O. punctimanus	spothanded crayfish	(Creaser)	1933	Procericambarus
O. putnami	phallic crayfish	(Faxon)	1884	Procericambarus
O. quadruncus	St. Francis River crayfish	(Creaser)	1933	Procericambarus
O. quinebaugensis	Quinebaug River crayfish	Matthews & Warren	2008	Gremicambarus
O. rafinesquei	Rough River crayfish	Rhoades	1944	Crockerinus
O. raymondi	Norwood River crayfish	Thoma & Stocker	2009	Procericambarus
O. rhoadesi	fishhook crayfish	Hobbs	1949	Trisellescens
O. ronaldi	Mud River crayfish	Taylor	2000	Procericambarus
O. rusticus	rusty crayfish	(Girard)	1852	Procericambarus
O. sanbornii	Sanborn's crayfish	(Faxon)	1884	Crockerinus
O. saxatilis	Kiamichi crayfish	Bouchard & Bouchard	1976	Procericambarus
O. sheltae	Shelta cave crayfish	Cooper & Cooper	1997	Orconectes
O. shoupi	Nashville crayfish	Hobbs	1948	Crockerinus
O. sloanii	Sloan crayfish	(Bundy)	1876	Rhoadesius
O. spinosus	Coona River spiny crayfish	(Bundy)	1877	Procericambarus
O. stannardi	Little Wabash crayfish	Page	1985	Crockerinus
O. stygocaneyi	Caney Mountain cave crayfish	Hobbs III	2001	Orconectes
O. taylori	crescent crayfish	Schuster	2008	Trisellescens
O. theaphionensis	sinkhole crayfish	Simon, Timm & Morris	2005	Procericambarus
O. tricuspis	western highland crayfish	Rhoades	1944	Crockerinus
O. validus	powerful crayfish	(Faxon)	1914	Trisellescens
O. virginiensis	Chowanoke crayfish	Hobbs	1951	Crockerinus
O. virilis	virile crayfish	(Hagen)	1870	Gremicambarus
O. williamsi	Williams crayfish	Fitzpatrick	1966	Procericambarus
O. wrighti	Hardin crayfish	Hobbs	1948	Faxonius
