Township	County	Pop. (2010)	Land ( sqmi )	Water (sqmi)	Latitude	Longitude	GEO ID	ANSI code
Wadsworth	Stutsman	22	32.675	2.929	47.203464	-99.280246	3809382540	01036505
Wagar	McHenry	30	36.009	0.064	48.421965	-100.592116	3804982580	01759518
Wagendorf	Hettinger	17	35.963	0.009	46.318359	-102.726679	3804182620	01037234
Walburg	Cass	152	35.978	0.005	46.766696	-97.361976	3801782740	01036366
Walcott	Richland	326	58.738	0.000	46.587329	-96.927146	3807782820	01036854
Waldo	Richland	103	35.309	0.041	46.064337	-96.813795	3807782900	01036819
Walhalla	Pembina	130	44.170	0.048	48.931954	-97.887029	3806783020	01036740
Walker	Hettinger	22	36.070	0.045	46.505321	-102.092723	3804183060	01759464
Wallace	Kidder	25	34.131	1.442	47.273773	-99.666855	3804383100	01037126
Walle	Grand Forks	457	38.715	0.197	47.795145	-97.034086	3803583140	01036592
Walsh Centre	Walsh	154	36.217	0.000	48.325376	-97.448678	3809983180	01036526
Walshville	Walsh	112	33.096	0.438	48.245458	-97.193551	3809983220	01036515
Walters	Stutsman	44	35.474	0.136	47.276592	-99.033007	3809383260	01036511
Wamduska	Nelson	34	31.087	4.757	47.890761	-98.332020	3806383340	01036572
Wano	LaMoure	35	36.035	0.000	46.413392	-98.599342	3804583380	01036902
Ward	Burke	52	35.040	0.957	48.756433	-102.338767	3801383420	01037103
Warren	Cass	139	35.651	0.002	46.753842	-97.000020	3801783500	01036360
Warwick	Benson	64	32.961	2.094	47.888546	-98.732324	3800583620	02397892
Washburn	Griggs	68	35.863	0.026	47.449380	-98.031371	3803983660	01036642
Washington	Grand Forks	116	36.037	0.000	47.715518	-97.431322	3803583740	01036588
Waterford	Ward	2,807	35.823	0.317	48.416292	-101.385910	3810183780	01759695
Waterloo	Cavalier	36	35.342	0.634	48.754141	-98.529629	3801983820	01759384
Watson	Cass	93	35.986	0.000	46.672866	-97.367221	3801783940	01036355
Wayne	Bottineau	32	43.523	0.287	48.944202	-101.157711	3800983980	01759301
Wayzetta	Mountrail	21	35.902	0.064	48.072278	-102.234712	3806184020	01037015
Weber	Sargent	73	39.727	0.543	45.974268	-97.565615	3808184100	01036785
Webster	Ramsey	67	36.066	0.415	48.327072	-98.875909	3807184180	01759598
Weimer	Barnes	47	36.027	0.000	47.022258	-97.769315	3800384220	01036423
Weiser	Kidder	34	34.860	1.058	47.030934	-99.534051	3804384260	01759479
Weld	Stutsman	31	33.947	2.375	46.942433	-99.120691	3809384300	01036475
Wellington	Bottineau	30	35.991	0.080	48.581299	-100.200318	3800984340	01759302
Wells	Wells	100	33.633	0.579	47.811111	-99.855168	3810384380	01759714
West Antelope	Benson	21	35.803	0.104	47.883003	-99.350987	3800584540	01759262
West Bank	Williams	52	36.572	0.000	48.328326	-103.022257	3810584580	01037024
West Bay	Benson	57	35.288	0.209	48.056183	-99.267307	3800584620	01759263
