Club	City	Stadium	Capacity	2007–08 season
U.C. AlbinoLeffe	Albino and Leffe (playingin Bergamo )	Stadio Atleti Azzurri d'Italia	26,393	4th in Serie B
A.C. Ancona	Ancona	Stadio del Conero	26,000	Serie C1/B Play-off Winners
Ascoli Calcio 1898	Ascoli Piceno	Stadio Cino e Lillo Del Duca	20,000	8th in Serie B
U.S. Avellino	Avellino	Stadio Partenio	26,308	19th in Serie B
A.S. Bari	Bari	Stadio San Nicola	58,248	11th in Serie B
Brescia Calcio	Brescia	Stadio Mario Rigamonti	27,547	5th in Serie B
A.S. Cittadella	Cittadella	Stadio Pier Cesare Tombolato	7,623	Serie C1/A Play-off Winners
Empoli F.C.	Empoli	Stadio Carlo Castellani	19,795	18th in Serie A
Frosinone Calcio	Frosinone	Stadio Matusa	9,680	10th in Serie B
U.S. Grosseto F.C.	Grosseto	Stadio Olimpico Carlo Zecchini	8,350	13th in Serie B
A.S. Livorno Calcio	Livorno	Stadio Armando Picchi	19,238	20th in Serie A
A.C. Mantova	Mantova	Stadio Danilo Martelli	14,844	9th in Serie B
Modena F.C.	Modena	Stadio Alberto Braglia	20,507	16th in Serie B
Parma F.C.	Parma	Stadio Ennio Tardini	27,906	19th in Serie A
Piacenza Calcio	Piacenza	Stadio Leonardo Garilli	21,608	15th in Serie B
Pisa Calcio	Pisa	Arena Garibaldi - Stadio Romeo Anconetani	17,000	6th in Serie B
Rimini Calcio F.C.	Rimini	Stadio Romeo Neri	9,768	7th in Serie B
Salernitana Calcio 1919	Salerno	Stadio Arechi	37,245	Serie C1/B Champions
U.S. Sassuolo Calcio	Sassuolo (playing in Modena )	Stadio Alberto Braglia	20,507	Serie C1/A Champions
Treviso F.B.C. 1993	Treviso	Stadio Omobono Tenni	9,996	18th in Serie B
U.S. Triestina Calcio	Trieste	Stadio Nereo Rocco	32,454	12th in Serie B
Vicenza Calcio	Vicenza	Stadio Romeo Menti	17,163	17th in Serie B
