Game	October	Opponent	Score	Record
1	3	@ Boston Bruins	5 - 3	0-1-0
2	5	@ Montreal Canadiens	2 - 1 OT	1-1-0
3	7	Boston Bruins	2 - 1 OT	2-1-0
4	9	New York Islanders	5 - 3	3-1-0
5	11	@ Washington Capitals	5 - 1	3-2-0
6	12	@ Hartford Whalers	5 - 2	3-3-0
7	14	Washington Capitals	5 - 3	3-4-0
8	16	New Jersey Devils	4 - 2	4-4-0
9	19	@ Pittsburgh Penguins	5 - 4	5-4-0
10	20	Edmonton Oilers	4 - 3	5-5-0
11	23	Los Angeles Kings	7 - 2	6-5-0
12	26	@ Quebec Nordiques	5 - 3	7-5-0
13	29	Minnesota North Stars	3 - 2	8-5-0
14	31	Quebec Nordiques	5 - 4	9-5-0
