Position	Driver	Points	Winnings	Series
1	Mark Martin	86	$225,000	NASCAR Winston Cup
2	Jeff Burton	57	$100,000	NASCAR Winston Cup
3	Jeff Gordon	51	$60,000	NASCAR Winston Cup
4	Al Unser, Jr.	46	$50,000	FedEx CART World Series
5	Terry Labonte	39	$45,000	NASCAR Winston Cup
6	Tony Stewart	37	$40,000	Indy Racing League
7	Dale Earnhardt	36	$40,000	NASCAR Winston Cup
8	Jimmy Vasser	34	$40,000	FedEx CART World Series
9	Randy LaJoie	31	$40,000	NASCAR Busch Series
10	Dale Jarrett	29	$40,000	NASCAR Winston Cup
11	Tommy Kendall	28	$40,000	SCCA Trans-Am Series
