Overall points	100 m	400 m	110 m H	1500 m
8791	989 10.44 s	865 48.92 s	984 13.93 s	522 5:06.59 min
8551	870 10.96 s	943 47.30 s	948 14.21 s	761 4:27.47 min
8527 ( NR )	883 10.90 s	913 47.91 s	955 14.15 s	750 4:29.17 min
8328	845 11.07 s	773 50.91 s	915 14.47 s	551 5:01.56 min
8253 (SB)	804 11.26 s	837 49.51 s	948 14.21 s	749 4:29.29 min
8241 (SB)	814 11.21 s	836 49.54 s	885 14.71 s	621 4:49.63 min
8238 (SB)	968 10.53 s	924 47.70 s	927 14.37 s	752 4:28.94 min
8220	834 11.12 s	831 49.65 s	927 14.37 s	726 4:32.90 min
8205	894 10.85 s	911 47.96 s	964 14.08 s	734 4:31.62 min
8194	906 10.80 s	886 48.47 s	885 14.71 s	766 4:26.77 min
8178 (PB)	827 11.15 s	774 50.90 s	910 14.51 s	637 4:47.03 min
8154	856 11.02 s	744 51.56 s	789 15.51 s	672 4:41.34 min
8118 (PB)	885 10.89 s	862 48.98 s	967 14.06 s	621 4:49.60 min
8055	819 11.19 s	815 49.99 s	882 14.73 s	693 4:37.96 min
7992	942 10.64 s	830 49.66 s	987 13.90 s	557 5:00.49 min
7906 (SB)	793 11.31 s	814 50.02 s	908 14.52 s	692 4:38.14 min
7838	797 11.29 s	782 50.71 s	842 15.06 s	648 4:45.17 min
7835 (SB)	827 11.15 s	843 49.39 s	899 14.60 s	685 4:39.32 min
7714	861 11.00 s	875 48.72 s	934 14.32 s	666 4:42.26 min
7665 ( NR )	915 10.76 s	885 48.51 s	935 14.31 s	491 5:12.22 min
7516	847 11.06 s	950 47.16 s	887 14.69 s	491 5:12.22 min
7483	878 10.92 s	780 50.75 s	894 14.64 s	522 5:06.67 min
7336	814 11.21 s	810 50.10 s	846 15.03 s	697 4:37.37 min
7021	825 11.16 s	724 52.02 s	777 15.61 s	610 4:51.42 min
6876	834 11.12 s	849 49.27 s	897 14.61 s	740 4:30.74 min
6486	821 11.18 s	787 50.60 s	705 16.25 s	449 5:20.26 min
DNF	789 11.33 s	729 51.91 s	941 14.26 s	DNS
DNF	970 10.52 s	921 47.75 s	949 14.20 s	DNS
DNF	782 11.36 s	742 51.61 s	816 15.28 s	DNS
DNF	854 11.03 s	782 50.71 s	0 DNF	DNS
DNF	863 10.99 s	851 49.21 s	DNS	DNS
DNF	759 11.47 s	0 DNF	DNS	DNS
DNF	771 11.41 s	0 DNF	DNS	DNS
DNF	677 11.87 s	0 DNF	DNS	DNS
DNF	883 10.90 s	DNS	DNS	DNS
DNF	799 11.28 s	DNS	DNS	DNS
DNF	740 11.56 s	DNS	DNS	DNS
DNF	834 11.12 s	DNS	DNS	DNS
DNF	679 11.86 s	DNS	DNS	DNS
DNF	685 11.83 s	DNS	DNS	DNS
