2006/ 07	2008/ 09	2010/ 11	2011/ 12	2012/ 13
UR	UR	UR	47	29
Ranking Tournaments	Ranking Tournaments	Ranking Tournaments	Ranking Tournaments	Ranking Tournaments
Not Held	Non-Ranking	Non-Ranking	Non-Ranking	LQ
Not Held	Not Held	Not Held	LQ	LQ
Not Held	LQ	LQ	LQ	1R
Not Held	Not Held	Not Held	Not Held	Not Held
Not Held	Not Held	Not Held	Not Held	LQ
LQ	LQ	LQ	LQ	LQ
Not Held	Not Held	A	LQ	LQ
RR	LQ	LQ	LQ	LQ
Not Held	Not Held	1R	2R	DNQ
LQ	LQ	LQ	WR	LQ
LQ	LQ	LQ	QF	LQ
Non-Ranking Tournaments	Non-Ranking Tournaments	Non-Ranking Tournaments	Non-Ranking Tournaments	Non-Ranking Tournaments
LQ	LQ	A	A	A
Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments	Variant format tournaments
Not held	Not held	A	3R	2R
Former Ranking Tournaments	Former Ranking Tournaments	Former Ranking Tournaments	Former Ranking Tournaments	Former Ranking Tournaments
LQ	Not Held	Not Held	Not Held	Not Held
LQ	LQ	Not Held	Not Held	Not Held
Not Held	LQ	Not Held	Not Held	Not Held
