Season	Premiers	Runners Up	Score	Captain	Coach	Simpson Medal	Venue	Attendance	Umpires
2001	East Perth	South Fremantle	17.18 (120) – 5.8 (38)	Jeremy Barnard	Tony Micale	Ryan Turnbull (EP)	Subiaco Oval	23842	C Hendrie , M Fussell , D Corcoran
2002	East Perth	West Perth	15.14 (104) – 5.14 (44)	Jeremy Barnard	Tony Micale	Ryan Turnbull (EP)	Subiaco Oval	31382	L Farmer , C Hendrie , R Worthington
2003	West Perth	Subiaco	13.9 (87) – 9.10 (64)	Steve Trewhella	Darren Harris	Brent LeCras (WP)	Subiaco Oval	17775	C Hendrie, D Corcoran, R Worthington
2004	Subiaco	Claremont	15.9 (99) – 7.9 (51)	Richard Maloney	Peter German	Paul Vines (S)	Subiaco Oval	21507	D Corcoran, L Farmer , M Fussell
2005	South Fremantle	Claremont	17.8 (110) – 7.12 (54)	David Gault	John Dimmer	Toby McGrath (SF)	Subiaco Oval	22570	L Farmer , M Fussell , G Bandy
2006	Subiaco	South Fremantle	24.9 (153) – 10.10 (70)	Marc Webb	Peter German	Marc Webb (S)	Subiaco Oval	21291	G Bandy, G Parker, T Keating
2007	Subiaco	Claremont	15.13 (103) – 9.8 (62)	Marc Webb	Scott Watters	Brad Smith (S)	Subiaco Oval	19541	G Statham, G Bandy, T Keating
2008	Subiaco	Swan Districts	22.16 (148) – 14.7 (91)	Marc Webb	Scott Watters	Chris Hall (S)	Subiaco Oval	23199	G Statham, S Parry, D Margetts
2009	South Fremantle	Subiaco	17.11 (113) – 13.17 (95)	Toby McGrath	John Dimmer	Ashton Hams (SF)	Subiaco Oval	22727	S Parry, C Hendrie , G Statham
2010	Swan Districts	Claremont	14.16 (100) – 14.15 (99)	Josh Roberts	Brian Dawson	Andrew Krakouer (SD)	Subiaco Oval	24600	S Parry, C Hendrie , G Statham
2011	Claremont	Subiaco	19.13 (127) – 10.11 (71)	Clancy Rudeforth	Simon McPhee	Beau Wilkes (C)	Patersons Stadium	15459	S Parry, C Hendrie , S McPhee
2012	Claremont	East Fremantle	18.16 (124) – 15.8 (98)	Luke Blackwell	Marc Webb	Paul Medhurst (C)	Patersons Stadium	18612	S McPhee, T Keating , J Orr
