Date	Location	Lineup	Assist/pass	Score	Result	Competition
2004-01-30	Shenzhen	off 75' ( on Hucles )	Wambach	2-0	3-0	Four Nations Tournament
2004-01-30	Shenzhen	off 75' ( on Hucles )	Markgraf	3-0	3-0	Four Nations Tournament
2004-02-03	Shenzhen	90. Start	MacMillan	1-0	2-0	Friendly
2004-02-27	Heredia	on 46' ( off Boxx )	unassisted	5-0	8-0	Olympics qualification
2004-03-05	Heredia	off 60' ( on Hamm )	Parlow	1-2	3-2	Olympics qualification
2004-03-14	Ferreiras	on 46' ( off Foudy )	Parlow	5-0	5-1	Algarve Cup
2004-03-20	Faro	off 68' ( on Wagner )	Wambach	3-1	4-1	Algarve Cup
2004-08-26	Athens	off 91' ( on O'Reilly )	Chastain	1-0	2-1	Olympics
2006-03-13	Faro	off 56' ( on Lloyd )	unassisted	3-0	4-1	Algarve Cup
2006-09-13	Rochester NY	off 67' ( on Kai )	Wagner	2-1	3-1	Friendly
2006-10-01	Carson CA	off 63' ( on Rapinoe )	unassisted	2-0	10-0	Friendly
2006-10-01	Carson CA	off 63' ( on Rapinoe )	Wagner	3-0	10-0	Friendly
2006-11-02	Suwon	on 46' ( off Lilly )	Kai	1-0	2-0	Peace Queen Cup
2007-04-14	Foxboro MA	off 68' ( on O'Reilly )	unassisted	2-0	5-0	Friendly
2007-05-12	Frisco	off 62' ( on O'Reilly )	Mitts	2-1	6-2	Friendly
2007-08-12	Chicago	off 64' ( on Kai )	unassisted	4-0	6-1	Friendly
2007-08-25	Carson CA	90. Start	Rampone	3-0	4-0	Friendly
2008-01-16	Guangzhou	on 64' ( off Lloyd )	O'Reilly	3-0	4-0	Four Nations Tournament
2008-01-16	Guangzhou	on 64' ( off Lloyd )	Rodriguez	4-0	4-0	Four Nations Tournament
2008-01-18	Guangzhou	90. Start	Wambach	1-0	4-1	Four Nations Tournament
2008-01-18	Guangzhou	90. Start	Wambach	2-0	4-1	Four Nations Tournament
2008-03-05	Albufeira	off 45' ( on Heath )	Lloyd	1-0	4-0	Algarve Cup
2008-03-07	Alvor	off 45' ( on Heath )	Cheney	1-0	2-0	Algarve Cup
2008-05-03	Birmingham AL	off 74' ( on O'Reilly )	unassisted	1-1	5-4	Friendly
2008-05-03	Birmingham AL	off 74' ( on O'Reilly )	Kai	3-1	5-4	Friendly
2008-05-10	Washington	off 70' ( on Osborne )	Wambach	1-0	6-0	Friendly
2008-07-02	Fredrikstad	off 81' ( on Rodriguez )	Wambach	1-0	4-0	Friendly
2008-08-12	Shenyang	90. Start	unassisted	3-0	4-0	Olympics
2008-11-01	Richmond VA	90. Start	Wagner	3-0	3-1	Friendly
2009-05-25	Toronto	on 61' ( off Rapinoe )	unassisted	3-0	4-0	Friendly
2011-01-23	Chongqing	on 31' ( off Rapinoe )	Cheney	2-1	2-1	Four Nations Tournament
2011-03-04	Santo Antonio	90. Start	Rodriguez	1-0	2-0	Algarve Cup
Match Report	Match Report	Match Report	Match Report	Match Report	Match Report	Match Report
