Year	Date	Location	Winner	Loser	Weight class
2002	May 18, 2002	Uncasville, Connecticut , United States	Micky Ward United States	Arturo Gatti Canada	Welterweight
2003	April 26, 2003	Mashantucket, Connecticut , United States	James Toney United States	Vassily Jirov Kazakhstan	Cruiserweight
2004	November 27, 2004	Las Vegas , Nevada , United States	Marco Antonio Barrera Mexico	Erik Morales Mexico	Super featherweight
2005	May 7, 2005	Las Vegas , Nevada , United States	Diego Corrales United States	José Luis Castillo Mexico	Lightweight
2006	March 18, 2006	Levallois-Perret , France	Somsak Sithchatchawal Thailand	Mahyar Monshipour France	Super bantamweight
2007	September 29, 2007	Atlantic City , New Jersey , United States	Kelly Pavlik United States	Jermain Taylor United States	Middleweight
2008	March 1, 2008	Carson, California , United States	Israel Vázquez Mexico	Rafael Márquez Mexico	Super bantamweight
2009	February 28, 2009	Houston, Texas , United States	Juan Manuel Márquez Mexico	Juan Díaz United States	Lightweight
2010	December 11, 2010	Las Vegas, Nevada , United States	Amir Khan United Kingdom	Marcos Maidana Argentina	Super lightweight
2011	July 15, 2011	New York, New York , United States	Delvin Rodriguez Dominican Republic	Pawel Wolak Poland	Super welterweight
2012	December 8, 2012	Las Vegas, Nevada , United States	Juan Manuel Marquez Mexico	Manny Pacquiao Philippines	Welterweight
