Skip	Third/Vice skip	Second	Lead	City
Kerry Burtnyk	Don Walchuk	Richard Daneault	Garth Smith	Winnipeg
Pat Simmons	Gerry Adam	Jeff Sharp	Steve Laycock	Davidson
Jeff Stoughton	Kevin Park	Rob Fowler	Steve Gould	Winnipeg
Wayne Middaugh	Jon Mead	John Epping	Scott Bailey	Islington
Brad Gushue	Mark Nichols	Ryan Fry	Jamie Korab	St. John's
Mike McEwen	B. J. Neufeld	Matt Wozniak	Denni Neufeld	Winnipeg
Joel Jordison	Scott Bitz	Aryn Schmidt	Dean Hicke	Moose Jaw
Bob Ursel	Jim Cotter	Kevin Folk	Rick Sawatsky	Kelowna
Jean-Michel Ménard	Martin Crête	Éric Sylvain	Jean Gagnon	Lévis
Ted Appelman	Tom Appelman	Bradon Klassen	Brendan Melnyk	Edmonton
Greg McAulay	Ken Maskiewich	Deane Horning	Aaron Watson	Richmond
Jason Gunnlaugson	Justin Richter	Braden Zawada	Tyler Forrest	Beausejour
