Games	Year	Host City	Province	Dates
I	1948	Surakarta	Central Java	8 September—12 September 1948
II	1951	Jakarta	Jakarta	21 October—28 October 1951
III	1953	Medan	North Sumatra	20 September—27 September 1953
IV	1957	Makassar	South Sulawesi	27 September—6 October 1957
V	1961	Bandung	West Java	23 September—1 October 1961
VI 1	1965	Jakarta	Jakarta	8 October—10 November 1965
VII	1969	Surabaya	East Java	26 August—6 September 1969
VIII	1973	Jakarta	Jakarta	4 August—15 August 1973
IX	1977	Jakarta	Jakarta	23 July—3 August 1977
X	1981	Jakarta	Jakarta	19 September—30 September 1981
XI	1985	Jakarta	Jakarta	9 September—20 September 1985
XII	1989	Jakarta	Jakarta	18 October—28 October 1989
XIII	1993	Jakarta	Jakarta	9 September—19 September 1993
XIV	1996	Jakarta	Jakarta	9 September—25 September 1996
XV	2000	Surabaya	East Java	19 June—1 July 2000
XVI	2004	Palembang	South Sumatra	2 September—14 September 2004
XVII	2008	Samarinda	East Kalimantan	6 July—17 July 2008
XVIII	2012	Pekanbaru	Riau	9 September—20 September 2012
XIX	2016	Bandung	West Java	2016
