Tournament	2007	2008	2009	2010	2011
Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments	Grand Slam tournaments
Australian Open	A	1R	1R	1R	1R
French Open	A	3R	3R	2R	2R
Wimbledon	2R	1R	2R	1R	1R
US Open	2R	2R	1R	1R	1R
Win-Loss	2–2	3–4	3–4	1–4	1–4
Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games	Olympic Games
Summer Olympics	NH	1R	Not Held	Not Held	Not Held
Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship	Year-End Championship
WTA Tour Championships	A	A	A	A	A
WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments	WTA Premier Mandatory Tournaments
Indian Wells	A	A	2R	2R	1R
Miami	A	1R	1R	1R	1R
Madrid	Not Held	Not Held	LQ	2R	A
Beijing	1R	LQ	1R	2R	LQ
WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments	WTA Premier 5 Tournaments
Dubai	Not TierI	Not TierI	1R	3R	A
Rome	A	2R	A	1R	LQ
Cincinnati	QF	A	2R	2R	LQ
Montréal / Toronto	A	A	A	1R	LQ
Tokyo	A	A	A	2R	A
Year End Ranking	49	49	52	74	114
