Team	P desc	P 2007	P Ap 2008	P Cl 2008
Universidad Católica	70,37	30,40	21,60	18,37
Audax Italiano	70,18	34,58	20,40	15,20
Colo-Colo	69,78	32,68	16,20	20,90
Universidad de Chile	68,67	26,60	18,00	24,07
O'Higgins	62,51	23,18	21,60	17,73
Huachipato	58,00	24,70	16,20	16,10
Santiago Morning	57,44	0,00	30,00	27,44
Ñublense	57,41	22,04	24,60	10,77
Cobresal	56,22	24,32	18,60	13,30
Cobreloa	55,98	25,08	13,80	16,10
Rangers	55,67	0,00	24,00	31,67
Palestino	53,92	18,62	14,40	19,90
Everton	51,75	14,82	19,20	17,73
La Serena	50,94	18,24	15,60	17,10
Unión Española	47,33	17,10	14,40	15,83
Universidad de Concepción	45,66	19,76	12,60	13,30
Antofagasta	42,63	17,86	10,20	14,57
Melipilla	33,87	20,90	6,00	6,97
Provincial Osorno	26,56	0,00	16,00	10,56
