Rider	Manufacturer	Laps	Time/Retired	Grid
Sete Gibernau	Honda	28	44:10.398	1
Valentino Rossi	Honda	28	+0.363	2
Max Biaggi	Honda	28	+5.073	3
Troy Bayliss	Ducati	28	+12.606	9
Alex Barros	Yamaha	28	+18.930	10
Tohru Ukawa	Honda	28	+19.113	6
Nicky Hayden	Honda	28	+20.156	11
Norifumi Abe	Yamaha	28	+20.870	14
Carlos Checa	Yamaha	28	+22.125	7
Olivier Jacque	Yamaha	28	+25.218	12
Shinya Nakano	Yamaha	28	+35.903	5
Nobuatsu Aoki	Proton KR	28	+39.258	15
John Hopkins	Suzuki	28	+50.230	16
Makoto Tamada	Honda	28	+1:01.441	18
Kenny Roberts, Jr.	Suzuki	28	+1:04.142	17
Andrew Pitt	Kawasaki	28	+1:23.083	20
Garry McCoy	Kawasaki	27	+1 lap	21
Noriyuki Haga	Aprilia	14	Retirement	19
Loris Capirossi	Ducati	8	Retirement	4
Colin Edwards	Aprilia	0	Accident	8
Jeremy McWilliams	Proton KR	0	Accident	13
OFFICIAL MOTOGP REPORT	OFFICIAL MOTOGP REPORT	OFFICIAL MOTOGP REPORT	OFFICIAL MOTOGP REPORT	OFFICIAL MOTOGP REPORT
