Place	Player	Country	Score	To par
1	Wayne Grady	Australia	68-67-69=204	–12
2	Tom Watson	United States	69-68-68=205	–11
3	Payne Stewart	United States	72-65-69=206	–10
T4	Mark Calcavecchia	United States	71-68-68=207	–9
T4	Fred Couples	United States	68-71-68=207	–9
T4	David Feherty	Northern Ireland	71-67-69=207	–9
T7	Paul Azinger	United States	68-73-67=208	–8
T7	Jodie Mudd	United States	73-67-68=208	–8
T9	Mark McCumber	United States	71-68-70=209	–7
T9	José María Olazábal	Spain	68-72-69=209	–7
T9	Steve Pate	United States	69-70-70=209	–7
