Official name	INE code	Name in Spanish	Name in Basque	Population (2007)
Alegría-Dulantzi	1001	Alegría de Álava	Dulantzi	2305
Amurrio	1002	Amurrio	Amurrio	9879
Añana	1049	Añana	Añana	181
Aramaio	1003	Aramayona	Aramaio	1493
Armiñón	1006	Armiñón	Armiñon	199
Arraia-Maeztu	1037	Arraya-Maestu	Arraia-Maeztu	718
Arrazua-Ubarrundia	1008	Arrazua-Ubarrundia	Arratzu-Ubarrundia	880
Artziniega	1004	Arceniega	Artziniega	1702
Asparrena	1009	Aspárrena	Asparrena	1578
Ayala/Aiara	1010	Ayala	Aiara	2635
Baños de Ebro/Mañueta	1011	Baños de Ebro	Mañueta	357
Barrundia	1013	Barrundia	Barrundia	818
Berantevilla	1014	Berantevilla	Berantebila	446
Bernedo	1016	Bernedo	Bernedo	581
Campezo/Kanpezu	1017	Campezo	Kanpezu	1106
Elburgo/Burgelu	1021	Elburgo	Burgelu	524
Elciego	1022	Elciego	Eltziego	1001
Elvillar/Bilar	1023	Elvillar	Bilar	356
Harana/Valle de Arana	1056	Valle de Arana	Harana	313
Iruña de Oca/Iruña Oka	1901	Iruña de Oca	Iruña Oka	2587
Iruraiz-Gauna	1027	Iruraiz-Gauna	Iruraitz-Gauna	483
Kripan	1019	Cripán	Kripan	184
Kuartango	1020	Cuartango	Kuartango	358
Labastida	1028	Labastida	Bastida	1475
Lagrán	1030	Lagrán	Lagran	194
Laguardia	1031	Laguardia	Guardia	1484
Lanciego/Lantziego	1032	Lanciego	Lantziego	687
Lantarón	1902	Lantarón	Lantaron	964
Lapuebla de Labarca	1033	Lapuebla de Labarca	Lapuebla Labarka	882
Laudio/Llodio	1036	Llodio	Laudio	18397
Legutiano	1058	Villarreal de Álava	Legutiano	1587
Leza	1034	Leza	Leza	230
Moreda de Álava	1039	Moreda de Álava	Arabako Moreda	275
Navaridas	1041	Navaridas	Navaridas	218
Okondo	1042	Oquendo	Okondo	1064
Oyón-Oion	1043	Oyón	Oion	3014
Peñacerrada-Urizaharra	1044	Peñacerrada	Urizaharra	253
Ribera Alta	1046	Ribera Alta	Erriberagoita	683
Ribera Baja/Erribera Beitia	1047	Ribera Baja	Erriberabeitia	1130
Salvatierra/Agurain	1051	Salvatierra	Agurain	4407
Samaniego	1052	Samaniego	Samaniego	313
San Millán/Donemiliaga	1053	San Millán	Donemiliaga	744
Urkabustaiz	1054	Urcabustaiz	Urkabustaiz	1141
Valdegovía	1055	Valdegovía	Gobiaran	1112
Villabuena de Álava/Eskuernaga	1057	Villabuena de Álava	Eskuernaga	314
Vitoria-Gasteiz	1059	Vitoria	Gasteiz	229484
Yécora/Iekora	1060	Yécora	Iekora	293
Zalduondo	1061	Zalduendo de Álava	Zalduondo	185
Zambrana	1062	Zambrana	Zanbrana	360
Zigoitia	1018	Cigoitia	Zigoitia	1513
