Rank	Rider	Manufacturer	Points	Wins
1	Doug Polen	Ducati	432	17
2	Raymond Roche	Ducati	282	4
3	Rob Phillis	Kawasaki	267	0
4	Stéphane Mertens	Ducati	217	2
5	Fabrizio Pirovano	Yamaha	195	0
6	Terry Rymer	Yamaha	162	0
7	Carl Fogarty	Honda	146	0
8	Fred Merkel	Honda	124	0
9	Giancarlo Falappa	Ducati	113	0
10	Davide Tardozzi	Ducati	108	0
11	Udo Mark	Yamaha	68	0
12	Jeffrey de Vries	Yamaha	66	0
13	Aaron Slight	Kawasaki	65	0
14	Kevin Magee	Yamaha	63	1
15	Jari Suhonen	Yamaha	61	0
16	Juan López Mella	Honda	57	0
17	Scott Russell	Kawasaki	53	0
18	Daniel Amatriain	Honda	47	0
19	Edwin Weibel	Honda	41	0
20	Jean Yves Mounier	Yamaha	41	0
21	Rob McElnea	Yamaha	35	0
22	Brian Morrison	Yamaha	33	0
23	Niall Mackenzie	Honda	33	0
24	Linnley Clarke	Yamaha	30	0
25	Yves Brisson	Honda	30	0
26	Baldassarre Monti	Honda	27	0
27	Steve Crevier	Kawasaki	26	0
28	Malcolm Campbell	Honda	23	0
29	Reuben McMurter	Honda	22	0
30	Massimo Broccoli	Kawasaki	21	0
31	Tom Kipp	Yamaha	20	1
32	Pascal Picotte	Yamaha	20	1
33	Scott Doohan	Yamaha	20	0
34	Benoit Pilon	Yamaha	20	0
35	Piergiorgio Bontempi	Kawasaki	18	0
36	Steve Martin	Suzuki	17	0
37	John Hopperstad	Yamaha	17	0
38	Peter Rubatto	Yamaha	17	0
39	Jacques Guenette	Kawasaki	15	0
40	Michael O'Connor	Honda	14	0
