Place	Rider	Country	Machine	Speed	Time	Points
1	Giacomo Agostini	Italy	MV Agusta	102.49mph	2:12.24.4	15
2	Peter Williams	United Kingdom	Matchless	98.40mph	2:18.03.0	12
3	Frank Perris	United Kingdom	Suzuki	96.51mph	2:20.45.4	10
4	Selwyn Griffiths	United Kingdom	Matchless	95.03mph	2:22.57.4	8
5	Gordon Pantall	United Kingdom	Kawasaki	95.02mph	2:22.57.6	6
6	Roger Sutcliffe	United Kingdom	Matchless	94.38mph	2:23.56.2	5
7	Keith Turner	United Kingdom	Suzuki	94.08mph	2:24.23.2	4
8	Charlie Sanby	United Kingdom	Seeley	93.04mph	2:26.00.8	3
9	Tom Dickie	United Kingdom	Matchless	92.82mph	2:26.21.2	2
10	Hans-Otto Butenuth	Germany	BMW	92.81mph	2:26.21.8	1
