Year	Language	Title	Translator	Company	Pages
1989	Arabic	Al-Jiniral fi matahatihi	Salih Ilmani	Nicosia : IBAL	287
1989	German	Der General in seinem Labyrinth: Roman	Dagmar Ploetz	Cologne : Kiepenheuer & Witsch	359
1989	Swedish	Generalen i sin labyrint	Jens Nordenhök	Stockholm : Wahlström & Widstrand	267
1989	Portuguese	O General em seu Labirinto	Moacir Werneck de Castro	Rio de Janeiro : Editora Record	281
1990	English	The General in His Labyrinth	Edith Grossman	New York City : Alfred A. Knopf	285
1990	French	Le Général dans son labyrinthe	Annie Morvan	Paris : B. Grasset	318
1990	Turkish	Labirentindeki General	İnci Kut	İstanbul : Can Yayınları	253
1990	Basque	Jenerala bere laberintoan	Xabier Mendiguren	Donostia-San Sebastián, Spain : Eikar	279
1991	Hebrew	General be-mavokh	Ritah Meltser and Amatsyah Porat	Tel Aviv : Am Oved	205
1991	Japanese	Meikyu no Shogun	Kimura Eiichi	Tokyo : Shinchosha	323
1991	Persian	Zhiniral dar hazar tu-yi khvad	Hushang Asadi (based on the English version)	Tehran : Kitab-i Mahnaz	237
1992	Hungarian	A tábornok útvesztője	Tomcsányi Zsuzsanna	Budapest : Magvető	254
1992, 1996	Italian	Il generale nel suo labirinto	Angelo Morino	Milan : Mondadori	286
1993	Polish	Generał w labiryncie	Zofia Wasitowa	Warsaw : Pánstwowy Instytut Wydawniczy	285
1995	Chinese	Mi gong zhong di jiang jun	Chengdong Yin	Taipei : Yun chen wen hua shi ye	321
1996	Dutch	De generaal in zijn labyrint	Mieke Westra	Amsterdam : Meulenhoff, 3rd ed.	317
1996	Romanian	Generalul în labirintul său	Mihaela Dumitrescu	Bucharest : RAO	256
1999	Vietnamese	Tướng quân giữa mê hồn trận	Nguyễn Trung Đức	Hanoi : Hội Nhà Văn	394
2000	Albanian	Gjenerali në labirintin e vet:Roman	Nasi Lera	Tirana : Mësonjëtorja e Parë	305
n.m.	Greek	Ο στρατηγός μες στο Λαβύρινθό του	Klaiti Sotiriadou - Barajas	Athens : Livanis Publications	309
