Institution	Location (Population)	Founded	Type	Enrollment	Nickname (Colors)	Football?
Bluefield College	Bluefield, Virginia (5,444)	1922	Private / Baptist General Association of Virginia	793	Rams (Blue & Red)	Yes
Campbellsville University	Campbellsville, Kentucky (9,108)	1906	Private / SBC	3318	Tigers (Maroon)	Yes
Cumberland University	Lebanon, Tennessee (20,235)	1842	Private / No Affiliation	1345	Bulldogs (Maroon & White)	Yes
University of the Cumberlands	Williamsburg, Kentucky (5,245)	1887	Private / SBC	1743	Patriots (Red, Navy, Light Gray)	Yes
Georgetown College	Georgetown, Kentucky (29,098)	1829	Private / SBC	1400	Tigers (Orange & Black)	Yes
Lindsey Wilson College	Columbia, Kentucky (4,452)	1903	Private / Methodist	2677	Blue Raiders (Blue & White)	Yes
University of Pikeville	Pikeville, Kentucky (6,903)	1889	Private / Presbyterian	1156	Bears (Orange)	Yes
University of Rio Grande	Rio Grande, Ohio (915)	1876	Private / No affiliation	1893	RedStorm (Red & Black)	No
Shawnee State University	Portsmouth, Ohio (20,909)	1986	Public	4300	Bears (Royal Blue & Gray)	No
St. Catharine College	St. Catharine, Kentucky (1,000)	1873	Private / Catholic	700	Patriots (Purple & Gold)	No
