Season	Series	Races	Poles	Wins	Podiums	Points	Position
2002	Formula Renault 2000 Brazil	10	1	1	3	133	3rd
2003	Formula Renault 2000 Brazil	12	5	4	6	186	1st
2003	Formula Renault 2000 UK	2	0	0	0	20	29th
2004	Superfund Euro Formula 3000	11	0	0	0	0	12th
2005	Stock Car Brasil	11	0	0	0	0	38th
2006	Stock Car Brasil	12	0	0	0	32	20th
2006-07	A1 Grand Prix	8	0	0	0	0	23rd
2007	Stock Car Brasil	11	0	0	1	20	26th
2008	Stock Car Brasil	12	0	0	2	222	7th
2008	GT3 Brasil Championship	12	0	0	3	24	13th
2009	Stock Car Brasil	11	2	2	2	260	4th
2009	GT3 Brasil Championship	16	0	2	11	216	2nd
2010	Stock Car Brasil	12	1	2	3	251	3rd
2010	GT Brasil GT3 class	16	0	0	8	169	2nd
2010	Trofeo Linea Brasil	2	0	0	1	20	16th
