Round	Pick	Overall	Name	Position	College
1	3	3	Jack Scarbath	QB	Maryland
2	3	16	Dick Modzelewski	DT	Maryland
3	2	27	Paul Dekker	E	Michigan State
4	3	40	Don Boll	OT	Nebraska
5	2	51	Nick Carras	RB	Missouri
8	3	88	Lew Weidensaul	E	Maryland
11	2	123	Alex Webster	HB	North Carolina State
12	3	136	Buzz Nutter	C	Virginia Tech
14	3	160	Ed Timmerman	RB	Michigan State
15	2	171	Dave Suminski	G	Wisconsin
16	3	184	Jim Slay	E	Mississippi
17	2	195	Bob Haner	RB	Villanova
18	3	208	Jim Turner	RB	Texas Tech
19	2	219	Tom Flyzik	OT	George Washington [b ]
20	3	232	Bill Link	G	Wake Forest
21	2	243	Jim Dublinski	C	Utah
22	3	256	Ed Pucci	G	Southern California
23	2	267	Ed Bierne	E	Detroit Mercy [e ]
24	3	280	Stan Butterworth	RB	Bucknell
25	2	291	Art Hurd	G	Maryland
26	3	304	Walt Ashcraft	OT	Southern California
27	2	315	John Zanetti	OT	John Carroll
28	3	328	Bob Buckley	RB	Southern California
29	2	339	Pat Shires	RB	Tennessee
30	3	352	Bob Mathias	RB	Stanford
