Player	Height	Position	Year born (Age)	Current Club
Jermaine Anderson	1.86	PG	February 8, 1983 (age30)	Walter Tigers Tübingen
Tyler Kepkay	1.83	PG	June 19, 1987 (age26)	University of Utah
Samuel Dalembert	2.11	C	May 10, 1980 (age33)	Philadelphia 76ers
Olu Famutimi	1.96	SG/SF	February 21, 1984 (age29)	Khimik Yuzhny
Carl English	1.95	SG/SF	February 2, 1981 (age32)	Gran Canaria
Rowan Barrett	1.97	F	November 24, 1972 (age41)	Chalon-sur-Saône
Andy Rautins	1.98	SG	November 2, 1986 (age27)	Syracuse University
Dave Thomas	2.04	SF	December 4, 1976 (age37)	Cairns Taipans
Aaron Doornekamp	1.98	F	December 5, 1985 (age28)	Carleton University
Rans Brempong	2.04	PF	July 22, 1981 (age32)	Bayer Giants Leverkusen
Levon Kendall	2.10	PF	July 4, 1984 (age29)	Panionios Forthnet
Joel Anthony	2.06	C	August 9, 1982 (age31)	Miami Heat
