Club	City	Stadium	2007–08 result	Capacity
Hrvatski Dragovoljac	Zagreb	NŠC Stjepan Spajić	2nd in 2.HNL	5,000
Imotski	Imotski	Gospin dolac	10th in 2.HNL	4,000
Istra 1961	Pula	Veruda	3rd in 2.HNL	3,500
Junak Sinj	Sinj	Gradski stadion Sinj	3rd in 3.HNL South	3,096
Karlovac	Karlovac	Branko Čavlović-Čavlek	1st in 3.HNL West	8,000
Lokomotiva	Zagreb	ŠRC Hitrec-Kacijan	2nd in 3.HNL West	1,000
Međimurje	Čakovec	Stadion SRC Mladost	12th in 1.HNL	8,000
Moslavina	Kutina	Gradski stadion u Kutini	9th in 2.HNL	2,000
Mosor	Žrnovnica	Stadion Pricviće	11th in 2.HNL	2,000
Pomorac	Kostrena	Stadion Žuknica	4th in 2.HNL	3,000
Segesta	Sisak	Gradski stadion Sisak	7th in 2.HNL	8,000
Slavonac CO	Stari Perkovci	Igralište Slavonca	6th in 2.HNL	1,000
Solin	Solin	Stadion pokraj Jadra	12th in 2.HNL	4,000
Suhopolje	Suhopolje	Stadion Park	1st in 3.HNL East	8,000
Trogir	Trogir	Gradski stadion Sinj	8th in 2.HNL	3,096
Vinogradar	Jastrebarsko	Stadion Mladina	5th in 2.HNL	2,000
