Driver	Constructor	Laps	Time/Retired	Grid
James Hunt	McLaren - Ford	73	1:31:51.68	2
Carlos Reutemann	Ferrari	73	+1:02.45	7
Patrick Depailler	Tyrrell - Ford	73	+1:06.39	15
Alan Jones	Shadow - Ford	73	+1:06.61	12
Jacques Laffite	Ligier - Matra	72	Out of Fuel	5
Riccardo Patrese	Shadow - Ford	72	+1 Lap	13
Hans Joachim Stuck	Brabham - Alfa Romeo	72	+1 Lap	4
Vittorio Brambilla	Surtees - Ford	71	+2 Laps	9
Kunimitsu Takahashi	Tyrrell - Ford	71	+2 Laps	22
Jody Scheckter	Wolf - Ford	71	+2 Laps	6
Kazuyoshi Hoshino	Kojima - Ford	71	+2 Laps	11
Alex Ribeiro	March - Ford	69	+4 Laps	23
Gunnar Nilsson	Lotus - Ford	63	Gearbox	14
Clay Regazzoni	Ensign - Ford	43	Engine	10
John Watson	Brabham - Alfa Romeo	29	Gearbox	3
Jochen Mass	McLaren - Ford	28	Engine	8
Patrick Tambay	Ensign - Ford	14	Engine	16
Ronnie Peterson	Tyrrell - Ford	5	Accident	18
Gilles Villeneuve	Ferrari	5	Accident	20
Jean-Pierre Jarier	Ligier - Matra	3	Engine	17
Mario Andretti	Lotus - Ford	1	Collision	1
Noritake Takahara	Kojima - Ford	1	Collision	19
Hans Binder	Surtees - Ford	1	Collision	21
