No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (millions)
58	1	" Scylla "	Kevin Hooks	Matt Olmstead	September1,2008	4AKJ01	6.53
59	2	" Breaking & Entering "	Bobby Roth	Zack Estrin	September1,2008	4AKJ02	6.53
60	3	" Shut Down "	Milan Cheylov	Nick Santora	September8,2008	4AKJ03	6.36
61	4	" Eagles & Angels "	Michael Switzer	Karyn Usher	September15,2008	4AKJ04	5.79
62	5	" Safe & Sound "	Karen Gaviola	Seth Hoffman	September22,2008	4AKJ05	5.84
63	6	" Blow Out "	Bryan Spicer	Kalinda Vazquez	September29,2008	4AKJ06	5.28
64	7	" Five the Hard Way "	Garry A. Brown	Christian Trokey	October6,2008	4AKJ07	5.37
65	8	" The Price "	Bobby Roth	Graham Roland	October20,2008	4AKJ08	5.45
66	9	" Greatness Achieved "	Jesse Bochco	Nick Santora	November3,2008	4AKJ09	5.23
67	10	" The Legend "	Dwight H. Little	Karyn Usher	November10,2008	4AKJ10	5.38
68	11	" Quiet Riot "	Kevin Hooks	Seth Hoffman	November17,2008	4AKJ11	5.52
69	12	" Selfless "	Michael Switzer	Kalinda Vazquez	November24,2008	4AKJ12	5.25
70	13	"Deal or No Deal"	Bobby Roth	Christian Trokey	December1,2008	4AKJ13	5.84
71	14	"Just Business"	Mark Helfrich	Graham Roland	December8,2008	4AKJ14	5.40
72	15	"Going Under"	Karen Gaviola	Zack Estrin	December15,2008	4AKJ15	5.37
73	16	"The Sunshine State"	Kevin Hooks	Matt Olmstead & Nicholas Wootton	December22,2008	4AKJ16	4.98
74	17	"The Mother Lode"	Jonathan Glassner	Seth Hoffman	April17,2009	4AKJ17	3.34
75	18	"VS."	Dwight H. Little	Christian Trokey & Kalinda Vazquez	April24,2009	4AKJ18	3.06
76	19	"S.O.B."	Garry A. Brown	Karyn Usher	May1,2009	4AKJ19	3.20
77	20	"Cowboys & Indians"	Milan Cheylov	Nick Santora	May8,2009	4AKJ20	2.99
78	21	"Rate of Exchange"	Bobby Roth	Zack Estrin	May15,2009	4AKJ21	3.32
