Longi- tude	Usual translation	Chinese name ¹	Japanese name	Korean name ²	Vietnamese name	Date ³
315°	start of spring	立春 lìchūn	立春 risshun	입춘 (立春) ipchun	Lập xuân	Feb 4
330°	rain water	雨水 yǔshuǐ	雨水 usui	우수 (雨水) usu	Vũ thủy	Feb19
345°	awakening of insects	驚蟄 (惊蛰) jīngzhé	啓蟄 keichitsu	경칩 (驚蟄) gyeongchip	Kinh trập	Mar 6
0°	vernal equinox	春分 chūnfēn	春分 shunbun	춘분 (春分) chunbun	Xuân phân	Mar 21
15°	clear and bright	清明 qīngmíng	清明 seimei	청명 (清明) cheongmyeong	Thanh minh	Apr 5
30°	grain rain	穀雨 (谷雨) gǔyǔ	穀雨 kokuu	곡우 (穀雨) gogu	Cốc vũ	Apr 20
45°	start of summer	立夏 lìxià	立夏 rikka	입하 (立夏) ipha	Lập hạ	May 6
60°	grain full	小滿 (小满) xiǎomǎn	小満 shōman	소만 (小滿) soman	Tiểu mãn	May21
75°	grain in ear	芒種 (芒种) mángzhòng	芒種 bōshu	망종 (芒種) mangjong	Mang chủng	Jun 6
90°	summer solstice	夏至 xiàzhì	夏至 geshi	하지 (夏至) haji	Hạ chí	Jun 21
105°	minor heat	小暑 xiǎoshǔ	小暑 shōsho	소서 (小暑) soseo	Tiểu thử	Jul 7
120°	major heat	大暑 dàshǔ	大暑 taisho	대서 (大暑) daeseo	Đại thử	Jul 23
135°	start of autumn	立秋 lìqiū	立秋 risshū	입추 (立秋) ipchu	Lập thu	Aug 8
150°	limit of heat	處暑 (处暑) chǔshǔ	処暑 shosho	처서 (處暑) cheoseo	Xử thử	Aug 23
165°	white dew	白露 báilù	白露 hakuro	백로 (白露) baekro	Bạch lộ	Sep 8
180°	autumnal equinox	秋分 qiūfēn	秋分 shūbun	추분 (秋分) chubun	Thu phân	Sep 23
195°	cold dew	寒露 hánlù	寒露 kanro	한로 (寒露) hanlo	Hàn lộ	Oct 8
210°	frost descent	霜降 shuāngjiàng	霜降 sōkō	상강 (霜降) sanggang	Sương giáng	Oct 23
225°	start of winter	立冬 lìdōng	立冬 rittō	입동 (立冬) ipdong	Lập đông	Nov 7
240°	minor snow	小雪 xiǎoxuě	小雪 shōsetsu	소설 (小雪) soseol	Tiểu tuyết	Nov 22
255°	major snow	大雪 dàxuě	大雪 taisetsu	대설 (大雪) daeseol	Đại tuyết	Dec 7
270°	winter solstice	冬至 dōngzhì	冬至 tōji	동지 (冬至) dongji	Đông chí	Dec 22
285°	minor cold	小寒 xiǎohán	小寒 shōkan	소한 (小寒) sohan	Tiểu hàn	Jan 6
300°	major cold	大寒 dàhán	大寒 daikan	대한 (大寒) daehan	Đại hàn	Jan 20
