Goal	Date	Venue	Score	Result	Competition
1.	14 September 1958	Zentral Stadium , Leipzig , East Germany	1–1	3–2	Friendly
2.	2 November 1958	23 August Stadium , Bucharest , Romania	2–0	3–0	1960 European Nations' Cup Qual.
3.	8 November 1959	23 August Stadium , Bucharest , Romania	1–0	1–0	1960 European Nations' Cup Qual.
4.	8 October 1961	23 August Stadium , Bucharest , Romania	3–0	4–0	Friendly
5.	8 October 1961	23 August Stadium , Bucharest , Romania	4–0	4–0	Friendly
6.	25 November 1962	23 August Stadium , Bucharest , Romania	3–1	3–1	1964 European Nations' Cup Qual.
7.	23 December 1962	Stade D'honneur , Casablanca , Morocco	0–1	3–1	Friendly
8.	23 June 1963	Idrætsparken Stadium , Copenhagen , Denmark	0–1	2–3	1964 Summer Olympics Qual.
9.	27 April 1964	23 August Stadium , Bucharest , Romania	1–0	4–1	Friendly
10.	3 May 1964	23 August Stadium , Bucharest , Romania	1–0	2–1	Friendly
11.	3 May 1964	23 August Stadium , Bucharest , Romania	2–0	2–1	Friendly
12.	22 October 1964	Nagai Stadium , Osaka , Japan	3–0	3–0	1964 Summer Olympics (5th place match)
