No	Driver	Entrant	Constructor	Chassis	Engine
4	Ludwig Fischer	Private	Simca-Gordini	Simca-Gordini T11	Gordini L4
6	Louis Rosier	Private	Talbot-Lago	Talbot-Lago T26C	Talbot L6
8	Pierre Levegh	Private	Talbot-Lago	Talbot-Lago T26C	Talbot L6
10	Bruno Sterzi	Private	Ferrari	Ferrari 166SC	Ferrari V12
12	Giovanni Bracco	Private	Ferrari	Ferrari 166C	Ferrari V12
14	Peter Whitehead	Scuderia Ferrari	Ferrari	Ferrari 125	Ferrari V12s
16	Discoride Lanza	Scuderia Dimiex	Maserati	Maserati 4CL	Maserati L4s
18	Juan Manuel Fangio	Automóvil Club Argentino	Maserati	Maserati 4CLT/48	Maserati L4s
20	Nello Pagani	Scuderia Enrico Platé	Maserati	Maserati 4CL	Maserati L4s
22	Louis Chiron	Automóvil Club Argentino	Simca-Gordini	Simca-Gordini T15	Gordini L4
24	Raymond Sommer	Scuderia Ferrari	Ferrari	Ferrari 125	Ferrari V12s
26	Frankie Sechehaye	Scuderia Enrico Platé	Maserati	Maserati 4CL	Maserati L4s
28	B. Bira	Scuderia Ambrosiana	Maserati	Maserati 4CLT/48	Maserati L4s
30	Toulo de Graffenried	Enrico Platé	Maserati	Maserati 4CLT/48	Maserati L4s
32	Piero Carini	Private	Maserati	Maserati A6GCS	Maserati L6
34	Benedicto Campos	Automóvil Club Argentino	Maserati	Maserati 4CLT/48	Maserati L4s
36	Fred Ashmore	Scuderia Ambrosiana	Maserati	Maserati 4CLT/48	Maserati L4s
40	Eugène Chaboud	Scuderia Dimiex	Maserati	Maserati 4CL	Maserati L4s
42	Felice Bonetto	Scuderia Ferrari	Ferrari	Ferrari 166C	Ferrari V12
44	Ferdinando Righetti	Private	Ferrari	Ferrari 166SC	Ferrari V12
48	Roberto Vallone	Scuderia Lazio	Ferrari	Ferrari 166 Inter	Ferrari V12
