Name	Years	Gender	Area	Authority	Decile	Roll
Bayswater School	1–6	Coed	Bayswater	State	9	187
Belmont Intermediate School	7–8	Coed	Belmont	State	10	538
Belmont School	1–6	Coed	Belmont	State	10	367
Campbells Bay School	1–6	Coed	Castor Bay	State	10	755
Devonport School	1–6	Coed	Devonport	State	10	368
Forrest Hill School	1–6	Coed	Forrest Hill	State	9	430
Hauraki Primary School	1–6	Coed	Hauraki	State	10	422
Milford School	1–6	Coed	Milford	State	10	526
St Joseph's Catholic School	1–6	Coed	Takapuna	State integrated	9	371
St Leo's School	1–6	Coed	Devonport	State integrated	10	102
Stanley Bay School	1–6	Coed	Stanley Bay	State	10	288
Sunnynook Primary School	1–6	Coed	Sunnynook	State	7	446
Takapuna Normal Intermediate	7–8	Coed	Takapuna	State	9	609
Takapuna School	1–6	Coed	Takapuna	State	9	385
Vauxhall School	1–6	Coed	Vauxhall	State	10	301
Wairau Intermediate	7–8	Coed	Sunnynook	State	8	280
