Name	Pos.	Height	Weight	Date of Birth	Club
Amr Mohamed	GK	m (ft 3in)	kg (lb)	1974-02-18	Gezira
Mohamed Gamaleldin	CB	m (ft 1in)	kg (lb)	1972-04-13	Heliopolis
Ibrahim Zaher	D	m (ft 1in)	kg (lb)	1982-03-07	Gezira
Bassel Mashhour	D	m (ft 0in)	kg (lb)	1982-09-30	Heliopolis
Hassan Sultan	D	m (ft 10in)	kg (lb)	1983-08-06	Maadi
Sherif Khalil	D	m (ft 1in)	kg (lb)	1982-08-18	Heliopolis
Karim Abdelmohsen	CF	m (ft 2in)	kg (lb)	1979-01-10	Heliopolis
Shady El Helw	CF	m (ft 0in)	kg (lb)	1979-02-07	Heliopolis
Ahmed abd almoniem	d	m (ft 10in)	kg (lb)	1983-05-29	Ahly
Mahmoud Ahmed	D	m (ft 0in)	kg (lb)	1976-03-01	Gezira
Ragy Abdel Hady	D	m (ft 1in)	kg (lb)	1974-01-28	Ahly
Omar El Sammany	D	m (ft 8in)	kg (lb)	1978-08-22	Ahly
Walid Rezk	CF	m (ft 3in)	kg (lb)	1974-07-19	Ahly
Head Coach: Adel Shamala	Head Coach: Adel Shamala	Head Coach: Adel Shamala	Head Coach: Adel Shamala	Head Coach: Adel Shamala	Head Coach: Adel Shamala
