Competition	Stage	Venue	Date	Result
1997 UEFA Championship qualification	Group 8	Hungary	Oct 4, 1995	L 0-6
1997 UEFA Championship qualification	Group 8	Turkey	Nov 21, 1995	L 0-4
1997 UEFA Championship qualification	Group 8	Ukraine	Apr 14, 1996	L 0-3
1997 UEFA Championship qualification	Group 8	Ukraine	May 9, 1996	L 1-2
1997 UEFA Championship qualification	Group 8	Bulgaria	Jun 16, 1996	L 0-3
1997 UEFA Championship qualification	Group 8	Turkey	Aug 24, 1996	L 0-3
1999 FIFA World Cup qualification (UEFA)	Group G	Georgia	Sep 25, 1997	W 1-0 Annuled
1999 FIFA World Cup qualification (UEFA)	Group G	Turkey	Oct 30, 1997	L 0-5
1999 FIFA World Cup qualification (UEFA)	Group G	Bulgaria	Nov 23, 1997	W 2-1
1999 FIFA World Cup qualification (UEFA)	Group G	Turkey	Dec 17, 1997	D 1-1
1999 FIFA World Cup qualification (UEFA)	Group G	Greece	Mar 8, 1998	L 2-3
1999 FIFA World Cup qualification (UEFA)	Group G	Yugoslavia	May 20, 1998	L 0-4
1999 FIFA World Cup qualification (UEFA)	Group G	Turkey	Jun 20, 1998	D 1-1
2001 UEFA Championship qualification	Group 8	Bosnia and Herzegovina	Jul 24, 1999	W 6-2
2001 UEFA Championship qualification	Group 8	Turkey	Nov 3, 1999	L 2-8
2001 UEFA Championship qualification	Group 8	Greece	Dec 18, 1999	D 0-0
2001 UEFA Championship qualification	Group 8	Turkey	Feb 16, 2000	W 3-1
2001 UEFA Championship qualification	Group 8	Hungary	Apr 26, 2000	L 0-6
2001 UEFA Championship qualification	Group 8	Turkey	May 13, 2000	L 2-3
2003 FIFA World Cup qualification (UEFA)	Group 8	Belarus	Sep 26, 2001	L 0-4
2003 FIFA World Cup qualification (UEFA)	Group 8	Turkey	Oct 13, 2001	L 0-3
2003 FIFA World Cup qualification (UEFA)	Group 8	Turkey	Oct 24, 2001	W 5-1
2003 FIFA World Cup qualification (UEFA)	Group 8	Turkey	Nov 21, 2001	L 1-4
2003 FIFA World Cup qualification (UEFA)	Group 8	Turkey	Mar 24, 2002	L 1-5
2003 FIFA World Cup qualification (UEFA)	Group 8	Slovakia	Apr 5, 2002	L 0-3
2003 FIFA World Cup qualification (UEFA)	Group 8	Bosnia and Herzegovina	May 2, 2002	L 2-3
2003 FIFA World Cup qualification (UEFA)	Group 8	Hungary	May 23, 2002	L 1-4
UEFA Euro 2009 qualifying	Group A1	Turkey	Nov 18, 2006	W 1-0
UEFA Euro 2009 qualifying	Group A1	Turkey	Nov 20, 2006	L 1-2
UEFA Euro 2009 qualifying	Group A1	Turkey	Nov 23, 2006	W 9-0
2011 FIFA World Cup qualification (UEFA)	Group 5	Turkey	Nov 21, 2009	L 0-5
2011 FIFA World Cup qualification (UEFA)	Group 5	Turkey	Nov 26, 2009	L 0-3
2011 FIFA World Cup qualification (UEFA)	Group 5	Malta	Mar 27, 2010	W 2-0
2011 FIFA World Cup qualification (UEFA)	Group 5	Spain	Apr 7, 2010	L 1-5
2011 FIFA World Cup qualification (UEFA)	Group 5	Turkey	Apr 11, 2010	W 5-1
2011 FIFA World Cup qualification (UEFA)	Group 5	Austria	Jun 23, 2010	L 0-4
2011 FIFA World Cup qualification (UEFA)	Group 5	England	Jul 29, 2010	L 0-3
2011 FIFA World Cup qualification (UEFA)	Group 5	Turkey	Aug 25, 2010	D 2-2
UEFA Euro 2013 qualifying	Group 2	Turkey	Sep 17, 2011	L 1-10
UEFA Euro 2013 qualifying	Group 2	Kazakhstan	Sep 22, 2011	L 0-2
UEFA Euro 2013 qualifying	Group 2	Turkey	Oct 22, 2011	D 0-0
UEFA Euro 2013 qualifying	Group 2	Romania	Oct 27, 2011	L 1-7
UEFA Euro 2013 qualifying	Group 2	Turkey	Nov 23, 2011	L 1-2
UEFA Euro 2013 qualifying	Group 2	Turkey	Feb 5, 2012	L 0-5
UEFA Euro 2013 qualifying	Group 2	Switzerland	Mar 31, 2012	L 0-5
UEFA Euro 2013 qualifying	Group 2	Spain	Jun 21, 2012	L 0-4
UEFA Euro 2013 qualifying	Group 2	Turkey	Sep 15, 2012	L 1-3
UEFA Euro 2013 qualifying	Group 2	Germany	Sep 19, 2012	L 0-10
2015 FIFA Women's World Cup qualification (UEFA)	Group 6	England	Sep 26, 2013	L 0-8
2015 FIFA Women's World Cup qualification (UEFA)	Group 6	Turkey	Oct 31, 2013	L 0-4
