Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Fleetwood Town	36	7	7	85	45	+40	73
2	Stalybridge Celtic	36	6	8	72	42	+30	72
3	Leek Town	36	10	6	63	38	+25	70
4	Accrington Stanley	36	6	9	71	39	+32	69
5	Farsley Celtic	36	9	9	64	48	+16	63
6	Droylsden	36	10	10	63	48	+15	58
7	Eastwood Hanley	36	12	10	50	37	+13	56
8	Winsford United	36	6	15	59	47	+12	51
9	Congleton Town	36	16	8	43	39	+4	51 2
10	Harrogate Town	36	9	14	51	50	+1	48
11	Alfreton Town	36	8	15	53	54	−1	47
12	Radcliffe Borough	36	13	12	66	62	+4	46
13	Irlam Town	36	10	14	39	45	−6	46
14	Penrith	36	11	14	46	51	−5	44
15	Sutton Town	36	5	20	51	96	−45	38
16	Lancaster City	36	6	20	45	72	−27	36
17	Eastwood Town	36	10	18	45	65	−20	34
18	Curzon Ashton	36	4	24	43	73	−30	28
19	Netherfield	36	4	28	35	93	−58	16
