Name	Location	Country	Longest span	Comp	Pylons
Russky Bridge	Vladivostok , Eastern Bosphorus Strait	Russia	m (ft)	2012	2
Sutong Bridge	Suzhou , Nantong	People's Republic of China	m (ft)	2008	2
Stonecutters Bridge	Rambler Channel	Hong Kong (PRC)	m (ft)	2009	2
E’dong Bridge	Huangshi	People's Republic of China	m (ft)	2010	2
Tatara Bridge	Seto Inland Sea	Japan	m (ft)	1999	2
Pont de Normandie	Le Havre	France	m (ft)	1995	2
Jingyue Bridge	Jingzhou	People's Republic of China	m (ft)	2010	2
Incheon Bridge	Incheon	South Korea	m (ft)	2009	2
Zolotoy Bridge	Vladivostok	Russia	m (ft)	2012	2
Shanghai Yangtze River Bridge	Shanghai	People's Republic of China	m (ft)	2009	2
Xiamen Zhangzhou Bridge	Xiamen , Zhangzhou	People's Republic of China	m (ft)	2013	2
Minpu Bridge	Shanghai	People's Republic of China	m (ft)	2010	2
Xiangshan Port Bridge	Ningbo	People's Republic of China	m (ft)	2012	2
Third Nanjing Yangtze Bridge	Nanjing	People's Republic of China	m (ft)	2005	2
Second Nanjing Yangtze Bridge	Nanjing, Jiangsu	People's Republic of China	m (ft)	2001	2
Jintang Bridge	Zhoushan Archipelago	People's Republic of China	m (ft)	2009	2
Baishazhou Bridge	Wuhan	People's Republic of China	m (ft)	2000	2
Erqi Yangtze River Bridge	Wuhan	People's Republic of China	2 x m (ft)	2011	3
Qingzhou Bridge	Fuzhou	People's Republic of China	m (ft)	2001	2
Yangpu Bridge	Shanghai	People's Republic of China	m (ft)	1993	2
Xupu Bridge	Shanghai	People's Republic of China	m (ft)	1997	2
Meiko-Chuo Bridge	Nagoya	Japan	m (ft)	1998	2
Taoyaomen Bridge	Zhoushan	People's Republic of China	m (ft)	2003	2
Rio-Antirrio Bridge	Rio	Greece	3 x m (ft)	2004	4
Can Tho Bridge	Can Tho / Vinh Long	Vietnam	m (ft)	2010	2
Skarnsund Bridge	Inderøy	Norway	m (ft)	1991	2
Baluarte Bridge	Sinaloa and Durango	Mexico	m (ft)	2012	2
Huangyi Bridge	Luzhou , Sichuan	People's Republic of China	m (ft)	2012	2
Queshi Bridge	Shantou	People's Republic of China	m (ft)	1999	2
Tsurumi Tsubasa Bridge	Yokohama	Japan	m (ft)	1994	2
Anqing Bridge	Anqing	People's Republic of China	m (ft)	2005	2
Tianxingzhou Bridge	Wuhan	People's Republic of China	m (ft)	2009	2
Jingzhou Yangtze River Bridge	Jingzhou	People's Republic of China	m (ft)	2002	2
Kanchanaphisek Bridge	Bangkok	Thailand	m (ft)	2007	2
Sungai Johor Bridge	Kota Tinggi , Johor	Malaysia	m (ft)	2011	2
Mokpo Bridge	Mokpo	South Korea	m (ft)	2012	2
Ikuchi Bridge	Ikuchi	Japan	m (ft)	1991	2
