No. in series	No. in season	Title	Directed by	Written by	Original air date	Prod. code	Viewers (millions)
13	1	"Spasticity"	Constantine Makris	Andrew Lenchewski	June3,2010	RP#201	5.84
14	2	"Lovesick"	Allison Liddi-Brown	Michael Rauch	June10,2010	RP#202	5.60
15	3	"Keeping the Faith"	Dennis Smith	Jack Bernstein & Michael Rauch	June17,2010	RP#203	5.51
16	4	"Medusa"	Matthew Penn	Andrew Lenchewski & Constance M. Burge	June24,2010	RP#204	5.30
17	5	"Mano a Mano"	Matthew Penn	Carol Flint & Jon Sherman	July1,2010	RP#205	5.32
18	6	"In Vino Veritas"	Michael W. Watkins	Jessica Ball	July15,2010	RP#206	5.20
19	7	"Comfort's Overrated"	Ed Fraiman	Constance M. Burge	July22,2010	RP#207	5.28
20	8	"The Hankover"	Jay Chandrasekhar	Carol Flint & Jon Sherman	July29,2010	RP#208	5.01
21	9	"Frenemies"	Wendey Stanzler	Jack Bernstein	August5,2010	RP#209	5.53
22	10	"Whole Lotto Love"	Tawnia McKiernan	Michael Rauch & Jessica Ball	August12,2010	RP#210	5.39
23	11	"Big Whoop"	Michael W. Watkins	Michael Rauch & Contance M. Burge	August19,2010	RP#211	5.27
24	12	"Open Up Your Yenta Mouth and Say Ah"	Ken Whittingham	Andrew Lenchewski	August26,2010	RP#212	6.08
25	13	"Mulligan"	Michael Rauch	Michael Rauch & Jon Sherman	January20,2011	RP#213	4.43
28	16	"Astraphobia"	Ed Fraiman	Andrew Lenchewski & Stuart Feldman	February10,2011	RP#216	3.86
