Date	Visitor	Score	Home	Decision	Attendance	Record
March 1	Los Angeles	2 – 5	Colorado	Theodore	18,007	34–26–6
March 4	Vancouver	1 – 2	Colorado	Theodore	17,621	35–26–6
March 6	Anaheim	0 – 1	Colorado	Theodore	18,007	36–26–6
March 8	Dallas	1 – 3	Colorado	Theodore	18,007	37–26–6
March 9	Colorado	0 – 3	Dallas	Theodore	18,532	37–27–6
March 11	Colorado	5 – 2	Atlanta	Theodore	14,089	38–27–6
March 13	Edmonton	1 – 5	Colorado	Budaj	18,007	39–27–6
March 15	New Jersey	4 – 2	Colorado	Theodore	18,007	39–28–6
March 17	Colorado	1 – 3	Minnesota	Theodore	18,568	39–29–6
March 20	Colorado	1 – 2	Calgary	Theodore	19,289	39–30–6
March 22	Colorado	5 – 7	Edmonton	Budaj	16,839	39–31–6
March 24	Calgary	0 – 2	Colorado	Theodore	18,007	40–31–6
March 26	Vancouver	3 – 6	Colorado	Theodore	17,728	41–31–6
March 28	Edmonton	4 – 5	Colorado	Theodore	17,846	42–31–6
March 30	Colorado	2 – 3	Minnesota	Theodore	18,568	42–31–7
