Round	Race	Circuit	Date	Pole Position	Fastest Lap	Winning driver	Winning team
1	1	Eastern Creek Raceway	3 February	Leanne Tander	Neil McFadyen	Nathan Caratti	Team BRM
1	2	Eastern Creek Raceway	3 February	Nathan Caratti	race cancelled by heavy rain	race cancelled by heavy rain	race cancelled by heavy rain
2	1	Adelaide Street Circuit	24 February	Neil McFadyen	Earl Bamber	Neil McFadyen	Piccola Scuderia Corse
2	2	Adelaide Street Circuit	24 February	Neil McFadyen	Ben Clucas	Ben Clucas	Team BRM
3	1	Oran Park Raceway	27 April	Neil McFadyen	Leanne Tander	Leanne Tander	Tandersport
3	2	Oran Park Raceway	27 April	Neil McFadyen	Nathan Caratti	James Winslow	Astuti Motorsport
4	1	Mallala Motor Sport Park	18 May	Leanne Tander	Nathan Caratti	Leanne Tander	Tandersport
4	2	Mallala Motor Sport Park	18 May	Neil McFadyen	Leanne Tander	Nathan Caratti	Team BRM
5	1	Phillip Island	15 June	Leanne Tander	Mat Sofi	Nathan Caratti	Team BRM
5	2	Phillip Island	15 June	James Winslow	Leanne Tander	James Winslow	Team BRM
6	1	Eastern Creek Raceway	13 July	Nathan Caratti	James Winslow	Leanne Tander	Tandersport
6	2	Eastern Creek Raceway	13 July	Nathan Caratti	Nathan Caratti	James Winslow	Team BRM
7	1	Phillip Island	10 August	Leanne Tander	James Winslow	James Winslow	Team BRM
7	2	Phillip Island	10 August	James Winslow	James Winslow	Leanne Tander	Tandersport
8	1	Symmons Plains Raceway	21 September	Mathew Radisich	James Winslow	James Winslow	Team BRM
8	2	Tasmanian Super Prix	21 September	James Winslow	Nathan Caratti	Leanne Tander	Tandersport
NC	1	Indy F3 Challenge	23 October	John Martin	John Martin	John Martin	Piccola Scuderia Corse
NC	2	Indy F3 Challenge	24 October	progressive grid	John Martin	John Martin	Piccola Scuderia Corse
NC	3	Indy F3 Challenge	25 October	progressive grid	John Martin	James Winslow	Team BRM
