Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	70	1:31:13.591	3
Ralf Schumacher	Williams - BMW	70	+0.784	1
Juan Pablo Montoya	Williams - BMW	70	+1.355	2
Fernando Alonso	Renault	70	+4.481	4
Rubens Barrichello	Ferrari	70	+1:04.261	5
Kimi Räikkönen	McLaren - Mercedes	70	+1:10.502	20
Mark Webber	Jaguar - Cosworth	69	+1 Lap	6
Olivier Panis	Toyota	69	+1 Lap	7
Jos Verstappen	Minardi - Cosworth	68	+2 Laps	15
Antônio Pizzonia	Jaguar - Cosworth	64	Brakes	13
Cristiano da Matta	Toyota	64	Suspension	9
Justin Wilson	Minardi - Cosworth	60	Gearbox	18
Jenson Button	BAR - Honda	51	Gearbox	17
David Coulthard	McLaren - Mercedes	47	Gearbox	11
Nick Heidfeld	Sauber - Petronas	47	Engine	12
Jarno Trulli	Renault	22	Collision damage	8
Giancarlo Fisichella	Jordan - Ford	20	Gearbox	16
Ralph Firman	Jordan - Ford	20	Engine	19
Jacques Villeneuve	BAR - Honda	14	Brakes	14
Heinz-Harald Frentzen	Sauber - Petronas	6	Electronics	10
