Date	Opponent	Score	Loss	Record
September 1	@ White Sox	5–3	Leiter (9–8)	49–67
September 2	@ White Sox	10–4	Ware (0–1)	49–68
September 3	@ White Sox	6–5	Guzman (3–11)	49–69
September 4	@ Royals	6–1	Gubicza (10–12)	50–69
September 4	@ Royals	9–7	Castillo (1–4)	50–70
September 5	@ Royals	9 – 8 (10)	Robinson (1–1)	50–71
September 6	@ Royals	6–2	Gordon (10–10)	51–71
September 8	Tigers	9–5	Lira (9–10)	52–71
September 9	Tigers	5–2	Guzman (3–12)	52–72
September 10	Tigers	5 – 2 (11)	Timlin (4–2)	52–73
September 11	Tigers	3 – 2 (10)	Rogers (2–4)	52–74
September 12	Rangers	6–5	Leiter (10–9)	52–75
September 13	Rangers	3 – 2 (11)	Timlin (4–3)	52–76
September 14	Rangers	6–1	Guzman (3–13)	52–77
September 15	Brewers	5 – 1 (15)	Robinson (1–2)	52–78
September 16	Brewers	5 – 4 (11)	Wegman (5–7)	53–78
September 17	Brewers	5–0	Givens (5–5)	54–78
September 18	@ Yankees	9–2	Cox (1–3)	54–79
September 19	@ Yankees	5–3	Guzman (3–14)	54–80
September 20	@ Yankees	2–1	Hentgen (10–12)	54–81
September 21	@ Yankees	6–4	Menhart (1–3)	54–82
September 22	@ Red Sox	Postponed (rain) Rescheduled for September 23	Postponed (rain) Rescheduled for September 23	Postponed (rain) Rescheduled for September 23
September 23	@ Red Sox	5–0	Leiter (11–10)	54–83
September 23	@ Red Sox	8–6	Wakefield (16–6)	55–83
September 24	@ Red Sox	2–1	Aguilera (3–3)	56–83
September 26	Orioles	5–0	Hentgen (10–13)	56–84
September 27	Orioles	7–0	Menhart (1–4)	56–85
September 29	Yankees	4–3	Castillo (1–5)	56–86
September 30	Yankees	6–1	Leiter (11–11)	56–87
