District	Incumbent	Party	First elected	Result	Candidates
Ohio 1	Tom Luken	Democratic	1976	Re-elected	Tom Luken (D) 61.7% Fred E. Morr (R) 38.3%
Ohio 3	Tony P. Hall	Democratic	1978	Re-elected	Tony P. Hall (D) 73.7% Ron Crutcher (R) 26.3%
Ohio 5	Del Latta	Republican	1958	Re-elected	Del Latta (R) 65.0% Tom Murray (D) 35.0%
Ohio 7	Mike DeWine	Republican	1982	Re-elected	Mike DeWine (R) Unopposed
Ohio 8	Tom Kindness	Republican	1974	Retired to run for U. S. Senate Republican hold	Buz Lukens (R) 68.1% John W. Griffin (D) 31.9%
Ohio 9	Marcy Kaptur	Democratic	1982	Re-elected	Marcy Kaptur (D) 77.5% Mike Shufeldt (R) 22.5%
Ohio 12	John Kasich	Republican	1982	Re-elected	John Kasich (R) 73.4% Timothy C. Jochim (D) 26.6%
Ohio 14	John F. Seiberling	Democratic	1970	Retired Democratic hold	Thomas C. Sawyer (D) 53.7% Lynn Slaby (R) 46.3%
Ohio 17	Jim Traficant	Democratic	1984	Re-elected	Jim Traficant (D) 72.3% James H. Fulks (R) 27.7%
Ohio 18	Douglas Applegate	Democratic	1976	Re-elected	Douglas Applegate (D) Unopposed
Ohio 19	Ed Feighan	Democratic	1982	Re-elected	Ed Feighan (D) 54.8% Gary C. Suhadolnik (R) 45.2%
Ohio 20	Mary Rose Oakar	Democratic	1976	Re-elected	Mary Rose Oakar (D) 84.9% Bill Smith (R) 15.1%
