Mountain	Height (m)	Prominence (m)	Range	Country
Kibo (Uhuru Pk)	5895	5885	Kilimanjaro	Tanzania
Mount Kenya (Batian)	5199	3825	Mount Kenya	Kenya
Mawenzi (Hans Meyer Pk)	5148	850	Kilimanjaro	Tanzania
Ngaliema / Mt Stanley (Margherita Pk)	5109	3951	Rwenzori	DR Congo Uganda
Mount Kenya (Lenana)	4985	130	Mount Kenya	Kenya
Ngaliema / Mt Stanley (Savoia Pk)	4977	110	Rwenzori	Uganda
Duwoni / Mt Speke (Vittorio Emanuele Pk)	4890	720	Rwenzori	Uganda
Kiyanja / Mt Baker (Edward Pk)	4844	507	Rwenzori	Uganda
Mount Emin (Umberto Pk)	4798	495	Rwenzori	DR Congo
Mount Gessi (Iolanda Pk)	4715	565	Rwenzori	Uganda
Mount Luigi di Savoia (Sella Pk)	4627	345	Rwenzori	Uganda
Mount Meru (Socialist Pk)	4566	3170	Mount Meru	Tanzania
Ras Dashen	4550	3997	Semien Mountains	Ethiopia
Karisimbi	4507	3312	Virunga Mountains	DR Congo Rwanda
Ancua / Ankwa / Weynobar	4462	380	Semien Mountains	Ethiopia
Kidis Yared	4453	730	Semien Mountains	Ethiopia
Mikeno	4437	1190	Virunga Mountains	DR Congo
Bwahit	4437	810	Semien Mountains	Ethiopia
Portal Peaks (Kihuma)	4391	565	Rwenzori	Uganda
Tullu Demtu	4377	2527	Bale Mountains	Ethiopia
Mount Elgon (Wagagai)	4321	2458	Mount Elgon	Uganda
Mount Elgon (Sudek)	4302	150	Mount Elgon	Kenya Uganda
Amba Farit	4270	2061	Kollo Massif	Ethiopia
Abune Yosef / Guliba Amba	4260	1909	Lasta Massif	Ethiopia
Ioll / Yoll	4220	350	Kollo Massif	Ethiopia
Bada	4195	1605	Arsi Mountains	Ethiopia
Kaka / Kecha / Chiqe	4193	1215	Arsi Mountains	Ethiopia
Jbel Toubkal	4167	3755	Toubkal Atlas	Morocco
Muhavura	4127	1530	Virunga Mountains	Rwanda Uganda
Hey / Hay	4125	660	Semien Mountains	Ethiopia
Guna	4120	1510	Guna Massif	Ethiopia
Choqa / Choke / Birhan	4100	2225	Choqa Mountains	Ethiopia
Ouanoukrim	4088	420	Toubkal Atlas	Morocco
Chilalo	4071	610	Arsi Mountains	Ethiopia
Mount Cameroon	4070	3931	Cameroon line	Cameroon
Inatye	4070	500	Semien Mountains	Ethiopia
Ighil Mgoun	4068	1904	Central High Atlas	Morocco
Weshema / Wasema?	4030	420	Bale Mountains	Ethiopia
Oldoinyo Lesatima	4001	2081	Aberdare Range	Kenya
Jebel n'Tarourt / Tifnout / Iferouane	3996	910	Toubkal Atlas	Morocco
Muggia	3950	500	Lasta Massif	Ethiopia
Dubbai	3941	1540	Tigray Mountains	Ethiopia
Taska n’Zat	3912	460	Toubkal Atlas	Morocco
Aksouâl	3903	450	Toubkal Atlas	Morocco
Mount Kinangop	3902	530	Aberdare Range	Kenya
Cimbia	3900	590	Kollo Massif	Ethiopia
Anrhemer / Ingehmar	3892	380	Toubkal Atlas	Morocco
Ieciuol ?	3840	560	Kollo Massif	Ethiopia
Kawa / Caua / Lajo	3830	475	Bale Mountains	Ethiopia
Pt 3820	3820	450	Kollo Massif	Ethiopia
Jbel Tignousti	3819	930	Central High Atlas	Morocco
Filfo / Encuolo	3805	770	Arsi Mountains	Ethiopia
Kosso Amba	3805	530	Lasta Massif	Ethiopia
Jbel Ghat	3781	470	Central High Atlas	Morocco
Baylamtu / Gavsigivla	3777	1120	Lasta Massif	Ethiopia
Ouaougoulzat	3763	860	Central High Atlas	Morocco
Somkaru	3760	530	Bale Mountains	Ethiopia
Abieri	3750	780	Semien Mountains	Ethiopia
Arin Ayachi	3747	1400	East High Atlas	Morocco
Teide	3718	3718	Tenerife	Canary Islands
Visoke / Bisoke	3711	585	Virunga Mountains	DR Congo Rwanda
Sarenga	3700	1160	Tigray Mountains	Ethiopia
Woti / Uoti	3700	1050	Eastern Escarpment	Ethiopia
Pt 3700 (Kulsa?)	3700	490	Arsi Mountains	Ethiopia
Loolmalassin	3682	2040	Crater Highlands	Tanzania
Biala ?	3680	870	Lasta Massif	Ethiopia
Azurki / Azourki	3677	790	Central High Atlas	Morocco
Pt 3645	3645	910	Lasta Massif	Ethiopia
Sabyinyo	3634	1010	Virunga Mountains	Rwanda DR Congo Uganda
Mount Gurage / Guraghe	3620	1400	Gurage Mountains	Ethiopia
Angour	3616	444	Toubkal Atlas	Morocco
Jbel Igdat	3615	1609	West High Atlas	Morocco
Jbel n'Anghomar	3609	1420	Central High Atlas	Morocco
Yegura / Amba Moka	3605	420	Lasta Massif	Ethiopia
Pt 3600 (Kitir?)	3600	870	Eastern Escarpment	Ethiopia
Pt 3600	3600	610	Lasta Massif	Ethiopia
Bar Meda high point	3580	520	Eastern Escarpment	Ethiopia
Jbel Erdouz	3579	690	West High Atlas	Morocco
