Date	Visitor	Score	Home	Decision	Attendance	Record
October 4	New Jersey	1 – 3	Tampa Bay	Holmqvist	19,454	1–0–0
October 6	Atlanta	2 – 5	Tampa Bay	Holmqvist	19,220	2–0–0
October 10	Florida	1 – 2	Tampa Bay	Holmqvist	18,540	3–0–0
October 13	Tampa Bay	4 – 6	Florida	Denis	15,801	3–1–0
October 18	Tampa Bay	1 – 4	Boston	Holmqvist	16,363	3–2–0
October 20	Atlanta	2 – 6	Tampa Bay	Holmqvist	19,420	4–2–0
October 24	Tampa Bay	3 – 5	Washington	Denis	10,226	4–3–0
October 25	Philadelphia	2 – 5	Tampa Bay	Holmqvist	18,616	5–3–0
October 27	Buffalo	4 – 3	Tampa Bay	Holmqvist	19,804	5–3–1
October 29	Tampa Bay	1 – 3	NY Rangers	Holmqvist	18,200	5–4–1
October 31	Tampa Bay	1 – 6	New Jersey	Holmqvist	13,218	5–5–1
