Pick #	Brand (to)	Employee (Real name)	Role	Brand (from)
1	Raw	Rey Mysterio ( Oscar Gutierrez )	Male wrestler	SmackDown
2	SmackDown	Jeff Hardy	Male wrestler	Raw
3	Raw	CM Punk ( Phil Brooks )	Male wrestler	ECW
4	ECW	Matt Hardy	Male wrestler	SmackDown
5	SmackDown	Jim Ross	Commentator	Raw
6	Raw	Michael Cole ( Michael Coulthard )	Commentator	SmackDown
7	Raw	Batista ( Dave Batista )	Male wrestler	SmackDown
8	SmackDown	Umaga ( Eddie Fatu )	Male wrestler	Raw
9	Raw	Kane ( Glenn Jacobs )	Male wrestler	ECW
10	SmackDown	Mr. Kennedy ( Ken Anderson )	Male wrestler	Raw
11	SmackDown	Triple H ( Paul Levesque )	Male wrestler	Raw
