Date(s)	Venue	City	Ticket price(s)	Ticket sold / available	Ticket grossing
July 26, 1986	Merriweather Post Pavilion	Columbia, Maryland	$16.50 / $11.50	13,000 / 13,000 (100%)	$176,267
July 28, 1986	Saratoga Performing Arts Center	Saratoga Springs, New York	$15 / $10	20,000 / 20,000 (100%)	$218,735
July 29, 31, August 1, 1986	Boston Common	Boston, Massachusetts	$19.50 / $17.50	37,500 / 37,500 (100%)	$667,065
August 2, 6, 1986	Jones Beach Theatre	Wantagh, New York	$22 / $20.50 / $17.50	20,600 / 20,600 (100%)	$376,326
August 4, 1986	Garden State Arts Center	Holmdel, New Jersey	$18.50 / $11	10,600 / 10,600 (100%)	$156,647
August 10–11, 1986	Chastain Park	Atlanta, Georgia	$22 / $20.50 / $17.50	12,702 / 12,702 (100%)	$259,545
August 14, 1986	Riverbend Music Center	Cincinnati, Ohio	$20 / $11.50	16,289 / 16,289 (100%)	$251,000
August 15, 1986	Freedom Hall Arena	Louisville, Kentucky	$10	15,600 / 15,600 (100%)	$156,310
August 16, 1986	Indiana State Fair	Indianapolis, Indiana	$14.50 / $12.50	16,287 / 16,287 (100%)	$225,965
August 22, 1986	Canadian National Exhibition Stadium	Toronto, Ontario	$23.50 / $19.50	25,370 / 25,370 (100%)	$465,286
September 1, 1986	The Muny	St. Louis, Missouri	$20.50 / $18.50 / $16.50	9,846 / 9,846 (100%)	$189,980
September 8, 1986	Red Rocks Amphitheatre	Denver, Colorado	$24.40 / $22 / $19.80	8,950 / 8,950 (100%)	$203,854
September 12, 1986	California Exposition & State Fair	Sacramento, California	$17.50	8,273 / 8,500 (97.3%)	$144,778
September 13, 1986	Shoreline Amphitheatre	Mountain View, California	$18.50 / $15.50	15,211 / 15,211 (100%)	$256,782
September 14, 1986	Concord Pavilion	Concord, California	$22.50 / $15.50	8,333 / 8,333 (100%)	$152,458
September 16, 1986	Fresno Convention Center	Fresno, California	$17.50	5,908 / 5,908 (100%)	$99,715
September 18, 1986	San Diego Sports Arena	San Diego, California	$25 / $18.50	9,051 / 9,051 (100%)	$172,092
September 19, 1986	Pacific Amphitheatre	Costa Mesa, California	$24.75 / $15	13,946 / 18,764 (74.3%)	$294,954
November 30 - December 1, 1986	Neal S. Blaisdell Center	Honolulu, Hawaii	$22.50 - $17.50	17,600 / 17,600 (100%)	$362,313
Total	Total	Total	Total	285,066 / 290,011 (98.3%)	$4,830,072
