Season	Competition	Round	Played	Drew	Lost
1969	Asian Championship	Group Stage	4	1	1
1970 1971 1985-86 1986-87 1987-88	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions
1988-89	Asian Championship	Qualifying Round	2	0	1
1989-90	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions
1990-91	Cup Winners Cup	Winners	6	2	0
1991-92	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions
1992-93	Cup Winners Cup	Final	8	3	2
1993-94	Cup Winners Cup	Quarter Final	4	1	2
1994-95 1995-96	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions
1996-97	Asian Championship	Third Place	9	1	3
1997-98	Asian Championship	Fourth Place	7	2	2
1998-99	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions
1999-2000	Asian Championship	Third Place	7	3	1
2000-01	Asian Championship	Third Place	9	3	1
2001-02	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions
2002-03	Champions League	Group Stage	3	0	1
2004 2005 2006 2007 2008	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions
2009	Champions League	Round of 16	5	1	2
2010	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions	Did Not Qualified For AFC Competitions
2011	Champions League	Group Stage	6	2	3
