Date	Visitor	Score	Home	Record
October 9	Winnipeg Jets	5–3	Quebec Nordiques	0–1–0
October 11	Toronto Toros	3–7	Quebec Nordiques	1–1–0
October 14	Edmonton Oilers	5–8	Quebec Nordiques	2–1–0
October 18	Houston Aeros	2–3	Quebec Nordiques	3–1–0
October 21	New England Whalers	1–6	Quebec Nordiques	4–1–0
October 25	Toronto Toros	2–3	Quebec Nordiques	5–1–0
October 28	Quebec Nordiques	2–5	Toronto Toros	5–2–0
October 29	Quebec Nordiques	2–4	New England Whalers	5–3–0
October 31	Quebec Nordiques	2–6	Cleveland Crusaders	5–4–0
November 1	Quebec Nordiques	5–4	Indianapolis Racers	6–4–0
November 2	Quebec Nordiques	1–0	Winnipeg Jets	7–4–0
November 4	Quebec Nordiques	4–3	Edmonton Oilers	8–4–0
November 5	Quebec Nordiques	2–4	Calgary Cowboys	8–5–0
November 6	Quebec Nordiques	5–3	Denver Spurs	9–5–0
November 8	Indianapolis Racers	2–3	Quebec Nordiques	10–5–0
November 9	Phoenix Roadrunners	3–7	Quebec Nordiques	11–5–0
November 11	Minnesota Fighting Saints	6–8	Quebec Nordiques	12–5–0
November 15	Quebec Nordiques	3–1	New England Whalers	13–5–0
November 18	Cincinnati Stingers	4–6	Quebec Nordiques	14–5–0
November 20	Winnipeg Jets	3–2	Quebec Nordiques	14–6–0
November 22	Quebec Nordiques	9–6	Cincinnati Stingers	15–6–0
November 23	Quebec Nordiques	0–4	Houston Aeros	15–7–0
November 27	Quebec Nordiques	1–5	San Diego Mariners	15–8–0
November 29	Quebec Nordiques	4–4	Phoenix Roadrunners	15–8–1
November 30	Quebec Nordiques	2–1	Phoenix Roadrunners	16–8–1
December 2	Cleveland Crusaders	2–9	Quebec Nordiques	17–8–1
December 5	Quebec Nordiques	4–7	Toronto Toros	17–9–1
December 7	Quebec Nordiques	3–2	Winnipeg Jets	18–9–1
December 9	Quebec Nordiques	1–4	Calgary Cowboys	18–10–1
December 10	Quebec Nordiques	4–7	Edmonton Oilers	18–11–1
December 12	Quebec Nordiques	4–6	Toronto Toros	18–12–1
December 13	Toronto Toros	3–6	Quebec Nordiques	19–12–1
December 16	Calgary Cowboys	3–7	Quebec Nordiques	20–12–1
December 18	Winnipeg Jets	4–5	Quebec Nordiques	21–12–1
December 20	Calgary Flames	7–8	Quebec Nordiques	22–12–1
December 21	Quebec Nordiques	7–11	Cincinnati Stingers	22–13–1
December 23	Quebec Nordiques	4–10	San Diego Mariners	22–14–1
December 27	Edmonton Oilers	3–6	Quebec Nordiques	23–14–1
December 28	Quebec Nordiques	6–1	Toronto Toros	24–14–1
December 30	Quebec Nordiques	4–4	Minnesota Fighting Saints	24–14–2
January 2	Quebec Nordiques	4–5	Cleveland Crusaders	24–15–2
January 3	Phoenix Roadrunners	4–1	Quebec Nordiques	24–16–2
January 10	San Diego Mariners	3–4	Quebec Nordiques	25–16–2
January 15	Calgary Cowboys	3–5	Quebec Nordiques	26–16–2
January 17	Toronto Toros	3–4	Quebec Nordiques	27–16–2
January 21	Indianapolis Racers	2–3	Quebec Nordiques	28–16–2
January 25	Edmonton Oilers	6–7	Quebec Nordiques	29–16–2
January 27	Cincinnati Stingers	1–9	Quebec Nordiques	30–16–2
January 30	Quebec Nordiques	3–3	Toronto Toros	30–16–3
January 31	Toronto Toros	4–8	Quebec Nordiques	31–16–3
February 3	Winnipeg Jets	4–5	Quebec Nordiques	32–16–3
February 5	Quebec Nordiques	2–4	Indianapolis Racers	32–17–3
February 7	Quebec Nordiques	4–4	Calgary Cowboys	32–17–4
February 8	Quebec Nordiques	5–4	Edmonton Oilers	33–17–4
February 11	Quebec Nordiques	6–4	Winnipeg Jets	34–17–4
February 12	Quebec Nordiques	4–6	Minnesota Fighting Saints	34–18–4
February 15	Quebec Nordiques	4–2	Houston Aeros	35–18–4
February 17	San Diego Mariners	2–5	Quebec Nordiques	36–18–4
February 22	New England Whalers	0–4	Quebec Nordiques	37–18–4
February 24	Houston Aeros	1–4	Quebec Nordiques	38–18–4
February 28	Winnipeg Jets	4–3	Quebec Nordiques	38–19–4
March 2	Quebec Nordiques	2–5	Toronto Toros	38–20–4
March 4	Quebec Nordiques	1–4	Calgary Cowboys	38–21–4
March 5	Quebec Nordiques	5–4	Edmonton Oilers	39–21–4
March 7	Quebec Nordiques	2–4	Edmonton Oilers	39–22–4
March 9	Quebec Nordiques	4–7	Calgary Cowboys	39–23–4
March 10	Quebec Nordiques	3–10	Winnipeg Jets	39–24–4
March 12	Quebec Nordiques	10–8	Winnipeg Jets	40–24–4
March 14	Toronto Toros	3–1	Quebec Nordiques	40–25–4
March 16	New England Whalers	1–5	Quebec Nordiques	41–25–4
March 19	Quebec Nordiques	4–3	Toronto Toros	42–25–4
March 20	Calgary Cowboys	8–7	Quebec Nordiques	42–26–4
March 21	Quebec Nordiques	6–3	Edmonton Oilers	43–26–4
March 23	Cleveland Crusaders	3–1	Quebec Nordiques	43–27–4
March 25	Edmonton Oilers	5–7	Quebec Nordiques	44–27–4
March 27	Calgary Cowboys	4–6	Quebec Nordiques	45–27–4
March 30	Edmonton Oilers	3–8	Quebec Nordiques	46–27–4
April 1	Edmonton Oilers	2–7	Quebec Nordiques	47–27–4
April 3	Toronto Toros	1–5	Quebec Nordiques	48–27–4
April 4	Quebec Nordiques	5–4	Toronto Toros	49–27–4
April 6	Toronto Toros	6–10	Quebec Nordiques	50–27–4
