Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Blackpool Mechanics	28	2	4	77	33	+44	44 2
2	Oldham Town	28	9	5	56	29	+27	37
3	Maghull	28	6	7	62	36	+26	36
4	Daisy Hill	28	7	8	62	45	+17	33
5	Atherton Collieries	28	7	8	48	37	+11	33
6	Bolton ST	28	7	9	42	34	+8	29 2
7	Cheadle Town	28	10	9	42	26	+16	28
8	Bacup Borough	28	8	10	36	40	−4	28
9	Padiham	28	10	10	44	45	−1	26
10	Prestwich Heys	28	6	12	53	66	−13	26
11	Newton	28	10	11	43	48	−5	24
12	Whitworth Valley	28	8	13	42	48	−6	22
13	Huyton Town	28	7	14	41	71	−30	21
14	Nelson	28	7	14	36	65	−29	19 2
15	Ashton Athletic	28	6	21	24	85	−61	8
