Place	Rider	Country	Machine	Speed	Time	Points
1	Giacomo Agostini	Italy	MV Agusta	102.03mph	1:50.56.8	15
2	Tony Rutter	United Kingdom	Yamaha	98.13mph	1:55.21.4	12
3	Mick Grant	United Kingdom	Yamaha	97.57mph	1:56.01.0	10
4	Jack Findlay	Australia	Yamaha	97.41mph	1:53.13.0	8
5	Derek Chatterton	United Kingdom	Yamaha	95.65mph	1:58.21.4	6
6	Selwyn Griffiths	United Kingdom	Yamaha	94.16mph	2:00.13.8	5
7	Mick Chatterton	United Kingdom	Yamaha	92.98mph	2:01.45.2	4
8	László Szabó	Hungary	Yamaha	90.52mph	2:05.03.80	3
9	Bill Rae	United Kingdom	Yamaha	90.51mph	2:05.04.80	2
10	B.Lee	United Kingdom	Yamaha	89.85mph	2:05.59.6	1
